phi_applied,target_flux,simulated_flux
0,0.1473495373044079,0.1473557170191591
0.002857142857142857,0.1496163838311261,0.1496150656635799
0.005714285714285714,0.1524601595991389,0.1524515190285978
0.008571428571428572,0.1558636709877073,0.1558479030739265
0.01142857142857143,0.1598378148920571,0.1598151340285169
0.01428571428571429,0.164401592654785,0.1643722332928536
0.01714285714285714,0.1695835565574006,0.1695477753074942
0.02,0.1754240058940228,0.175382085692003
0.02285714285714286,0.1819782603657963,0.1819305178956094
0.02571428571428571,0.1893052542067097,0.189252053781866
0.02857142857142857,0.1975402175783409,0.197481989819654
0.03142857142857143,0.206808908816724,0.206746192842797
0.03428571428571429,0.2173001024103092,0.2172336161666464
0.03714285714285714,0.2293322316631486,0.2292630083944517
0.04,0.2433368324222112,0.2432665128257552
