phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, sym 12pt)",5.00000000e-03,5.00000000e-04,0.629229,0.134013,295.8333,850.0000,0.3555,73.1975,inf,171.9
"Phase 2 (multi-obs, cold k0)",1.49235503e-03,4.77788833e-05,0.569447,0.457313,18.1448,9.2201,9.1792,8.5373,5.290874401994e-05,742.6
"Phase 3 (multi-obs, full cat)",1.47352169e-03,5.58160956e-05,0.575806,0.441409,16.6538,6.0506,8.1649,11.7182,1.251255962224e-04,1159.8
