phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, sym 12pt)",5.00000000e-03,5.00000000e-04,0.629213,0.134229,295.8333,850.0000,0.3530,73.1542,inf,161.5
"Phase 2 (multi-obs, cold k0)",1.49395501e-03,4.80632337e-05,0.569639,0.457131,18.2714,8.6799,9.1484,8.5737,5.291098294162e-05,168.4
"Phase 3 (multi-obs, full cat)",1.44862945e-03,5.52291198e-05,0.581333,0.446492,14.6832,4.9353,7.2835,10.7015,1.251494565358e-04,187.7
