phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
0,-0.08835396898744985,,1,22,2.2,0.0001675812430534177,1.857584994358064e-05,0.0556790812492328;0.1440330502366826,
0.002857142857142857,-0.1031774338813347,,1,22,2.2,0.0001724064499352513,1.925818989900741e-05,0.05072664046000688;0.1539040743413416,
0.005714285714285714,-0.1178435781112962,,1,22,2.2,0.0001775166344514834,1.991315662577819e-05,0.04608633384284665;0.1639299119541429,
0.008571428571428572,-0.1323935676382846,,1,22,2.2,0.0001829975306166679,2.05379354559776e-05,0.04173625961183179;0.1741298272501164,
0.01142857142857143,-0.1468696400703238,,1,22,2.2,0.0001889580457603857,2.112993098957183e-05,0.03765685370972262;0.1845264937800465,
0.01428571428571429,-0.1613052794082322,,1,23,2.3,0.000141756792402297,1.571924474749742e-05,0.03382568368776565;0.1951309630959979,
0.01714285714285714,-0.1757693704098514,,1,23,2.3,0.0001469278765168628,1.607578304921309e-05,0.03023666480897605;0.2060060352188275,
0.02,-0.1903041558190085,,1,23,2.3,0.0001528362768143937,1.640208438280499e-05,0.02686996020812797;0.2171741160271364,
0.02285714285714286,-0.2049682923777436,,1,23,2.3,0.0001597230870156782,1.669719363514566e-05,0.02371205216912417;0.2286803445468678,
0.02571428571428571,-0.2198286501298612,,1,23,2.3,0.0001679273245929748,1.696039872686739e-05,0.02075041301008606;0.2405790631399473,
0.02857142857142857,-0.2349628490595163,,1,23,2.3,0.0001779414995326052,1.719122676824281e-05,0.01797336791906474;0.252936216978581,
0.03142857142857143,-0.2504522333536319,,1,24,2.4,0.0001369474185520583,1.249821498477965e-05,0.01536787253772038;0.2658201058913523,
0.03428571428571429,-0.2664277558526978,,1,24,2.4,0.0001484326278770292,1.259698704952905e-05,0.01292801351826345;0.2793557693709613,
0.03714285714285714,-0.2830149530584531,,1,24,2.4,0.0001639851438782522,1.267154944373239e-05,0.01064171236008761;0.2936566654185407,
0.04,-0.3003759353483565,,1,25,2.5,0.0001331987005879679,9.098737481560981e-06,0.008498494791626636;0.3088744301399831,
