phi_applied,target_flux,simulated_flux
0,-0.03298406327095788,-0.01427030860002418
0.0075,-0.06543862076277496,-0.05937079562489368
0.015,-0.09830304365679576,-0.1047361430883586
0.0225,-0.1325619134490038,-0.1510151562974674
0.03,-0.1697306658552006,-0.1991517930527707
