phi_applied,target_current_density,simulated_current_density
5,nan,nan
3,-0.002311372408612576,nan
1,0.003554187655944925,nan
-0.5,-0.001143440157923322,nan
-1,-0.002428390050167554,nan
-2,-0.02210578513232827,nan
-3,-0.06618032759836574,nan
-5,-0.1333462598568282,nan
-8,-0.1720873556525381,nan
-10,-0.1776468899218231,nan
-15,nan,nan
-20,nan,nan
