phi_applied,flux_clean,flux_noisy,converged,steps_taken,final_time,final_relative_change,final_absolute_change,species_flux,failure_reason
5,nan,nan,0,1,0.5,,,-0.008099919324836108;4.320263085468357e-18,"ConvergenceError: Nonlinear solve failed to converge after 29 nonlinear iterations.
Reason:
   DIVERGED_DTOL"
3,0.0007089040237871147,-0.002311372408612576,1,5,2.5,1.660425925395726e-08,1.177082639258059e-11,-0.003866985475681421;3.150845770313392e-20,
1,0.0003192593587652667,0.003554187655944925,1,5,2.5,3.393317317271853e-06,1.083348310799287e-09,-0.001741521083101367;4.367542722071655e-18,
-0.5,-0.0006550496841230517,-0.001143440157923322,1,9,4.5,4.623324128280724e-06,3.028521011663038e-09,0.003572449010644837;7.67573486484839e-07,
-1,-0.002823515850549812,-0.002428390050167554,1,10,5,3.196140454675878e-06,9.024382077553461e-09,0.01539087295818242;1.106357774453556e-05,
-2,-0.02305320466858577,-0.02210578513232827,1,11,5.5,5.309373403147925e-06,1.223987215852318e-07,0.1250667756799251;0.0006856599531714145,
-3,-0.06648225800875338,-0.06618032759836574,1,11,5.5,2.956898657793963e-06,1.965818807458941e-07,0.3561055733098107;0.006547081328749389,
-5,-0.1361145680225734,-0.1333462598568282,1,10,5,1.329149789390751e-06,1.809168898858626e-07,0.7015899265414965;0.0408985343929656,
-8,-0.1721558509199457,-0.1720873556525381,1,9,4.5,5.233248759604304e-07,9.009348647670556e-08,0.8559063665450859;0.08318292159940388,
-10,-0.1780352025812151,-0.1776468899218231,1,8,4,6.408659873004493e-08,1.140967131885162e-08,0.8847340671399665;0.08642637128392951,
-15,nan,nan,0,1,0.5,,,20.33952130273341;1.052888746211987,"ConvergenceError: Nonlinear solve failed to converge after 17 nonlinear iterations.
Reason:
   DIVERGED_DTOL"
-20,nan,nan,0,1,0.5,,,467.5779556205359;12.82681079202019,"ConvergenceError: Nonlinear solve failed to converge after 11 nonlinear iterations.
Reason:
   DIVERGED_DTOL"
