phi_applied,target_current_density,simulated_current_density
-1,-0.007374144457341952,-0.004952555108104939
-2,-0.02721080290953056,-0.02607862275605476
-3,-0.06202917813359604,-0.06560317963380817
-4,-0.1079505401508506,-0.1057205472246117
-5,-0.1355706979747765,-0.1349996559891141
-6,-0.1532335800100144,-0.1533489255392982
-7,-0.1652563670807959,-0.1642434401082982
-8,-0.168345056302483,-0.1706420850290828
-9,-0.1757782868892749,-0.1744341963933292
-10,-0.177500655837663,-0.176734936786421
