phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002699943080053227,-0.002037117351984403,-0.002696487462174896
-2,-0.02340628769495274,-0.02244779875872581,-0.02094170364994419,-0.02222307383093407
-3,-0.06477056956628323,-0.06573770123674662,-0.06333339791782359,-0.06349294090269758
-4,-0.1069978687145439,-0.1067296488609108,-0.1025324149083589,-0.09932712539780503
-5,-0.1375463225152408,-0.1357749349250932,-0.1190684518165829,-0.1210532712807564
-6,-0.1535713093831789,-0.1543534115642099,-0.131373497521937,-0.1322768735523715
-7,-0.1621867293734878,-0.1655851372047627,-0.139417062760819,-0.1379120879602903
-8,-0.1696244956881482,-0.1721207722333486,-0.1403411774956293,-0.1411426164938859
-9,-0.1777534819190489,-0.1758609974680823,-0.143362447225946,-0.143452535075998
-10,-0.1814173452222933,-0.1780326823307847,-0.1456811764319968,-0.1454073960776031
