V_RHE,cd_mA_cm2,pc_mA_cm2,z_factor,method,initializer_fallback,initializer_picard_iters,initializer_fallback_reason
0.0,-0.17487133570220703,1.540682259212931e-05,1.0,cold,True,,
0.05,-0.17089063659748963,1.5494356498305456e-05,1.0,cold,True,,
0.1,-0.16369141051341876,1.549942504782144e-05,1.0,cold,True,,
0.2,-0.00569620133149209,1.5438749477255563e-05,1.0,cold,True,,
0.3,-1.0973066755688283e-05,1.097306633965613e-05,1.0,warm<-+7.784,False,,
0.4,-1.9847243762768402e-13,1.9980648865004023e-13,1.0,warm<-+11.677,False,,
0.5,2.6224199853637655e-16,2.6224355472321785e-16,1.0,warm<-+15.569,False,,
0.6,1.0319309718339628e-16,1.0319309718339642e-16,1.0,warm<-+19.461,False,,
0.68,2.6133029531927256e-16,2.6133029531927256e-16,1.0,warm<-+23.353,False,,
0.7,5.490942804186809e-16,5.490942804186809e-16,1.0,warm<-+26.467,False,,
0.75,2.0078416829262314e-15,2.0078416829262314e-15,1.0,warm<-+27.245,False,,
0.8,4.7333676663014275e-15,4.7333676663014275e-15,1.0,warm<-+29.191,False,,
0.9,1.0682114964853927e-13,1.0682114964853927e-13,1.0,warm<-+31.137,False,,
1.0,1.0957374513794374e-12,1.0957374513794374e-12,1.0,warm<-+35.030,False,,
