phi_applied,target_current_density,simulated_current_density
-1,-0.007374144457341952,-0.004987243442473154
-2,-0.02721080290953056,-0.025923449691317
-3,-0.06202917813359604,-0.06568972287129721
-4,-0.1079505401508506,-0.1055769730732923
-5,-0.1355706979747765,-0.1343500597014331
-6,-0.1532335800100144,-0.1525406292885516
-7,-0.1652563670807959,-0.1635339931737973
-8,-0.168345056302483,-0.1701047827074765
-9,-0.1757782868892749,-0.174051107438941
-10,-0.177500655837663,-0.1764646190759068
