evaluation,iteration,kappa0,kappa1,objective,grad0,grad1,grad_norm,n_failed_points,used_anisotropy_recovery,effective_kappa0,effective_kappa1,from_cache
1,0,5.0,5.0,0.005886299369587417,-0.0002669391818676691,0.002698046161551441,0.002711219212214063,0,0,5.0,5.0,0
2,0,5.000266939181867,4.997301953838448,0.005878900684242492,-0.0002814706689417304,0.0027096887207631194,0.002724268470783556,0,0,5.000266939181867,4.997301953838448,0
3,1,5.000548409850809,4.994592265117685,0.0058714908346583035,-0.00027568035096262825,0.0027009839587266776,0.0027150163905961438,0,0,5.000548409850809,4.994592265117685,0
4,1,5.001674292526574,4.9837535102346315,0.005842106642481805,-0.0002520599427591751,0.002665597477143018,0.002677488398648065,0,0,5.001674292526574,4.9837535102346315,0
5,1,5.006177823229636,4.940398490702417,0.005728745627816752,-0.00015615602491179784,0.0025208676000181215,0.0025256995389272606,0,0,5.006177823229636,4.940398490702417,0
6,1,5.024191946041882,4.766978412573561,0.005344445877535048,0.00023253773384916153,0.0019071879172394167,0.0019213119344155772,0,0,5.024191946041882,4.766978412573561,0
7,2,4.796363239149264,4.080608161727882,0.004590755870812321,0.0015405766410831587,-0.00046264829391931084,0.0016085458746698885,0,0,4.796363239149264,4.080608161727882,0
8,3,4.499721522555728,3.90276529508387,0.004214060467333457,0.0016490053182351516,-0.000633029449155888,0.0017663365543028374,0,0,4.499721522555728,3.90276529508387,0
9,3,3.313154656181581,3.1913938285078194,0.0027028468253464106,0.002143580098261607,-0.0014613435244847292,0.002594313114143451,0,0,3.313154656181581,3.1913938285078194,0
10,3,1.0000000002431594e-06,1.2050894387756645,0.003115804182971675,-0.007172270025236502,-0.002752226990818854,0.0076822009036406885,0,0,1.0000000002431594e-06,1.2050894387756645,0
11,3,1.5133213399229077,2.112356395335764,0.0006703125927409515,0.0026999943315420523,-0.0032118549262538957,0.004195948219134816,0,0,1.5133213399229077,2.112356395335764,0
12,4,1e-06,1.759827651979482,0.006349322758410389,-0.022170317709084623,0.012279239514967696,0.02534369172768039,0,0,1e-06,1.759827651979482,0
13,4,1.056139199199886,2.005855582981499,0.0001010643051941546,0.0004375636133509951,-0.00048322977586091046,0.0006518994799870337,0,0,1.056139199199886,2.005855582981499,0
14,5,0.8444656724258744,1.8848001923638338,0.00012747847620866087,-0.000374662713744182,-0.00014146229313424251,0.00040047937456122906,0,0,0.8444656724258744,1.8848001923638338,0
15,5,0.9937361829189598,1.9701675041426505,9.568410289009918e-05,0.0002331045316086108,-0.00039737084132666895,0.000460696546756251,0,0,0.9937361829189598,1.9701675041426505,0
16,6,1.0454478874806106,2.0975619524542646,0.00013285855304414474,-0.000672276139400396,0.0011223185469230097,0.0013082637839420903,0,0,1.0454478874806106,2.0975619524542646,0
17,6,1.006404322277102,2.001376118098532,9.09811343124826e-05,3.2636077961625552e-06,-2.264741405000629e-06,3.972428662505752e-06,0,0,1.006404322277102,2.001376118098532,0
