phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s,pass1_weight,pass2_weight,polish_weight
Pass 1 (CD-dominant),1.11347917e-03,3.62766260e-05,0.639175,0.522078,11.8496,31.0744,1.9418,4.4157,2.769677632830e-05,0.0,0.1,5.0,1.0
Pass 2 (PC-dominant),1.11347917e-03,3.78506629e-05,0.639175,0.516597,11.8496,28.0837,1.9418,3.3194,2.465760153584e-04,0.0,0.1,5.0,1.0
