evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,grad_0,effective_k0_0,k0_1,grad_1,effective_k0_1
1,0,0.07100201823657344,0.08728335100804119,0,0,0.01,2.0862465880072074,0.01,0.001,31.6492295643937,0.001
2,0,0.0635784387367901,0.08280116155097107,0,0,0.008952872446734714,2.213884031458664,0.008952872446734714,0.000845522084932704,35.48637538612787,0.000845522084932704
3,1,0.00016395829233307576,0.0027685697081250636,0,0,0.0010926935901910133,-0.5371353425973974,0.0010926935901910133,3.957260817854073e-05,-26.518150471049232,3.957260817854073e-05
4,2,7.592430088329416e-05,0.0007279785308919154,0,0,0.0011609793855407763,0.030595235632938634,0.0011609793855407763,4.388274151779024e-05,-7.158972750216717,4.388274151779024e-05
5,3,6.824469500713842e-05,8.536681646816687e-05,0,0,0.0011539864717347418,0.03185563864752771,0.0011539864717347418,4.596506204771425e-05,-0.10464702304627582,4.596506204771425e-05
6,4,6.816434557461109e-05,2.4656639620322024e-06,0,0,0.0011487071988621788,0.0004272916085220586,0.0011487071988621788,4.603209126709537e-05,0.020674874887724237,4.603209126709537e-05
7,5,6.816454897340227e-05,8.078141717861179e-08,0,0,0.001148655853652833,-2.7751418427704932e-05,0.001148655853652833,4.602604020840777e-05,0.00031834018777032735,4.602604020840777e-05
8,5,6.816435750086774e-05,2.247250130100275e-06,0,0,0.001148702657151526,0.00038704329838902985,0.001148702657151526,4.603155600305006e-05,0.01887442976569309,4.603155600305006e-05
9,5,6.816434668895563e-05,2.444304545246997e-06,0,0,0.0011487067547377543,0.0004233557071058521,0.0011487067547377543,4.6032038924558125e-05,0.020498814603735815,4.6032038924558125e-05
10,5,6.816434568407863e-05,2.463555712423134e-06,0,0,0.0011487071550229074,0.0004269032042298754,0.0011487071550229074,4.6032086100391264e-05,0.020657496163441036,4.6032086100391264e-05
11,5,6.816434558536215e-05,2.465455437198651e-06,0,0,0.001148707194530251,0.0004272530999800165,0.001148707194530251,4.603209075655333e-05,0.020673157158881406,4.603209075655333e-05
12,5,6.816434557563447e-05,2.465643196869906e-06,0,0,0.0011487071984328187,0.0004272877488094226,0.0011487071984328187,4.6032091216492864e-05,0.02067470415559003,4.6032091216492864e-05
13,5,6.816434557469564e-05,2.4656619901201253e-06,0,0,0.0011487071988187253,0.0004272912798498976,0.0011487071988187253,4.603209126197413e-05,0.020674858187520684,4.603209126197413e-05
14,5,6.816434557457458e-05,2.465663398601893e-06,0,0,0.0011487071988573242,0.0004272913091921144,0.0011487071988573242,4.6032091266523184e-05,0.02067487275931834,4.6032091266523184e-05
15,5,6.81643455746145e-05,2.465662555120434e-06,0,0,0.0011487071988377975,0.00042729120410511096,0.0011487071988377975,4.603209126422182e-05,0.02067486515898498,4.603209126422182e-05
16,5,6.816434557462192e-05,2.4656630688396682e-06,0,0,0.0011487071988548106,0.0004272911465426762,0.0011487071988548106,4.603209126622702e-05,0.020674871352188817,4.603209126622702e-05
17,5,6.816434557457051e-05,2.4656633195980696e-06,0,0,0.001148707198855802,0.0004272912887763491,0.001148707198855802,4.603209126634385e-05,0.020674872183496396,4.603209126634385e-05
