phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
P1 (PDE shallow),2.20668376e-03,8.23731801e-05,0.516351,0.397113,74.6958,56.5090,17.6474,20.5774,4.867360201130e-05,274.1
P2 (PDE full range),2.20668376e-03,8.23731801e-05,0.516351,0.397113,74.6958,56.5090,17.6474,20.5774,2.000000000000e+09,828.3
