sample_idx,k0_1,k0_2,alpha_1,alpha_2,nn_ensemble_cd_nrmse,nn_ensemble_pc_nrmse,rbf_baseline_cd_nrmse,rbf_baseline_pc_nrmse,pod_rbf_log_cd_nrmse,pod_rbf_log_pc_nrmse,pod_rbf_nolog_cd_nrmse,pod_rbf_nolog_pc_nrmse,gp_fixed_cd_nrmse,gp_fixed_pc_nrmse,pce_cd_nrmse,pce_pc_nrmse
2660,0.00045165616813262413,5.902319304817808e-05,0.3631364341161315,0.5732316151619627,0.0075523974525418215,0.03026546274768005,0.005074654622627614,0.011227281166213054,0.0020515339247613317,0.04408574120984974,0.002441631981227728,0.0473759937155163,0.007687899665028054,0.032983663008987314,0.011802360991171164,0.3505251611720922
70,0.008226616181989803,3.022547380153082e-06,0.33562350474243857,0.45999533478467725,0.014507612247124794,0.014916012779881254,0.004079796844323264,0.01781046519040052,0.013398923970836555,0.025773927358034573,0.013124360638998708,0.023594957848929402,0.006384458747799532,0.009708124130343271,0.03308285964852836,0.11122756979909428
557,0.0003516914785488575,0.0002177237006911374,0.19360833840323852,0.4127184159403756,0.011317817099918928,0.042283158143115764,0.017258694905972156,0.028219864627785664,0.015563621072930554,0.08757559938741788,0.01545855525329133,0.0885110558544269,0.011826383356260224,0.053635858194273564,0.010038701287854179,0.6485157530647441
2315,0.04808330170027561,3.541039909459277e-05,0.2960847868590503,0.35738181504115696,0.0016444477146840232,0.009222165285258033,0.0015840762319784772,0.006088815078507251,0.011522383791603226,0.02032550837920161,0.011201272319119044,0.019092108869845508,0.00451726649510218,0.004001964562863712,0.04889327017157495,0.11697083763674104
441,0.00020548561561102146,0.00014785262856209443,0.5540089663703246,0.6962996289761376,0.013744049877034982,0.04279623708964747,0.011256401587569909,0.08119939249179106,0.01029491641851051,0.0905559332937827,0.010224197133801441,0.09954593671781815,0.013445755879488512,0.058806494205483825,0.007853758934895807,0.7526932055917921
192,5.115458508190521e-05,0.004942576121247497,0.24825445192378368,0.6376535496560277,0.00896297817624489,0.24251946301407498,0.0027457762514413024,0.22648591313698024,0.005324271862691033,0.36718463172920446,0.005503885778050852,0.39565751952557826,0.005850140124108796,0.29643688222055564,0.0323359091937067,3.3097195761515343
2494,0.009256765006947248,0.00032406875654898015,0.5557641293511598,0.6631068723141257,0.00491795405561215,0.015735552185473865,0.012707734497207534,0.015040534089583625,0.010742457255005881,0.040076740721021735,0.010633748304897288,0.041334915431599645,0.0017891708143471957,0.024429448905595785,0.023234091231780156,0.2035982965202147
2501,0.01964035301421921,8.263659694829213e-05,0.2151448961112392,0.3394281545514025,0.0036694581738487084,0.021373158458958444,0.004154309861808243,0.00750679587270509,0.012257864814907076,0.029805774794873993,0.01297574450771847,0.03257895690060654,0.0019046732100750942,0.030023675907313963,0.04149804028415004,0.1205714713343148
788,1.8068055380141128e-06,0.00010949139458024421,0.7968723723566371,0.4699035591939297,0.02095727575769135,0.026085435262945707,0.008188110360280427,0.021748730623897303,0.021153973452983185,0.04346573107243722,0.021397070556021906,0.04319465568070225,0.016193153571018647,0.022563009624189525,0.017757993639980145,0.16630304489526843
3113,0.004775604922917976,0.0037368148852682773,0.6750075667095972,0.5245509545793895,0.009399876283408423,0.008680944211510517,0.03031402804033785,0.029794824551394563,0.020178758617061043,0.029542978334260284,0.020407454846864265,0.028988625370000253,0.006041773485596272,0.017269970488151872,0.05325707894058476,0.15664997373288245
