v_rhe,current_density_mAcm2,peroxide_current_mAcm2
0.700000,-7.23675486e-02,7.23675436e-02
0.650000,-1.07587400e-01,1.07587389e-01
0.600000,-1.23860976e-01,1.23860954e-01
0.550000,-1.34502060e-01,1.34502021e-01
0.500000,-1.40811149e-01,1.40811081e-01
0.450000,-1.42757138e-01,1.42756498e-01
0.400000,-1.43559107e-01,1.43550791e-01
0.350000,-1.45071498e-01,1.44973571e-01
0.300000,-1.46743153e-01,1.45622676e-01
0.250000,-1.48726815e-01,1.36983242e-01
0.200000,-1.51541536e-01,6.61073758e-02
0.150000,-1.56671875e-01,-3.48622187e-13
0.100000,-1.62887184e-01,-3.88089583e-12
0.050000,-1.69358737e-01,-4.31043394e-11
0.000000,-1.73296789e-01,-4.84684671e-10
-0.050000,-1.75829483e-01,-5.48883033e-09
-0.100000,-1.77528758e-01,-6.24272073e-08
-0.150000,-1.78740985e-01,-7.11828297e-07
-0.200000,-1.79673599e-01,-8.12776890e-06
-0.250000,-1.80443607e-01,-9.27663750e-05
-0.300000,-1.81116612e-01,-1.04432813e-03
-0.350000,-1.81751596e-01,-1.02510070e-02
-0.400000,-1.82455499e-01,-5.36581069e-02
-0.450000,-1.83198359e-01,-1.18806346e-01
-0.500000,-1.83831695e-01,-1.59633140e-01
