evaluation,iteration,point_index,phi_applied,target_flux,simulated_flux,point_objective,converged,steps_taken,final_relative_change,final_absolute_change,diagnostics_valid,reason,dJ_dk0_0,dJ_dk0_1
4,2,2,1.0,0.005300100699136993,0.001280296552322555,8.079412689373455e-06,1,7,1.5699498808764548e-07,2.0100017353655297e-10,1,,5.133816829932176e-06,1.8827094941415094e-15
4,2,3,-0.5,-0.003043699973370108,-0.0024175664120756643,1.960216182896347e-07,1,8,0.0,0.0,1,,-6.887250121079032e-07,-1.2549272198884941e-09
4,2,4,-1.0,-0.008740273241698985,-0.0091232454099648,7.333384083310853e-08,1,9,0.0,0.0,1,,2.6320964747600764e-06,1.3705908019573883e-08
4,2,5,-2.0,-0.043322701962768204,-0.04385225686623389,1.4021419789225383e-07,1,9,0.0,0.0,1,,1.6910620534803557e-05,4.3132049882182824e-07
4,2,6,-3.0,-0.08934867941224929,-0.08843340028873209,4.188679369729034e-07,1,7,0.0,0.0,1,,-3.960905639414982e-05,-2.728169200692472e-06
4,2,7,-5.0,-0.1446163132712558,-0.14626570232956326,1.36024213283115e-06,1,9,0.0,0.0,1,,4.604316224653473e-05,1.0929197282662688e-05
4,2,8,-8.0,-0.1746575923734992,-0.17395538442360534,2.465480024466069e-07,1,8,0.0,0.0,1,,-5.488622762832974e-06,-2.6459734130761535e-06
4,2,9,-10.0,-0.1784231242969886,-0.17858264136118912,1.2722846885432167e-08,1,8,0.0,0.0,1,,5.618465232573801e-07,2.621088240698049e-07
4,2,10,-15.0,-0.18585321420393588,-0.18202367137302972,7.33269914687316e-06,1,7,0.0,0.0,1,,-5.572604623013649e-06,-2.3516878164452485e-06
4,2,11,-20.0,-0.18182516904847973,-0.18374519784853757,1.8432552965272736e-06,1,7,0.0,0.0,1,,1.7633897340112496e-06,1.2056124460314156e-06
5,3,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0
5,3,1,3.0,-0.0009641367069719142,0.0029017556128544245,7.472561714246152e-06,1,5,5.49528616455526e-08,1.5945978348516632e-10,1,,-3.365316126743713e-05,1.1658820686322486e-21
5,3,2,1.0,0.005300100699136993,0.001276123660763943,8.09619560267695e-06,1,7,1.6267868759477547e-07,2.075981561135143e-10,1,,5.122438495328157e-06,2.3777385887652525e-15
5,3,3,-0.5,-0.003043699973370108,-0.0024211941108800024,1.9375677441727835e-07,1,6,1.5293021630620278e-06,3.702743053574792e-09,1,,-6.884105593745438e-07,-1.2505380129065556e-09
5,3,4,-1.0,-0.008740273241698985,-0.009146399567051504,8.246929607216862e-08,1,9,0.0,0.0,1,,2.796396038412581e-06,1.4534314684842985e-08
5,3,5,-2.0,-0.043322701962768204,-0.04395867094084607,2.0222827053867826e-07,1,9,0.0,0.0,1,,2.0316780310147843e-05,5.156091677866691e-07
5,3,6,-3.0,-0.08934867941224929,-0.08857087773683343,3.0248772313959786e-07,1,7,0.0,0.0,1,,-3.3635180017951425e-05,-2.2987122179744977e-06
5,3,7,-5.0,-0.1446163132712558,-0.14634729067413052,1.4981413846303646e-06,1,9,0.0,0.0,1,,4.8263464110638025e-05,1.1355266374824991e-05
5,3,8,-8.0,-0.1746575923734992,-0.1739750472306284,2.3293393602780925e-07,1,8,0.0,0.0,1,,-5.325583898114693e-06,-2.555739666211047e-06
5,3,9,-10.0,-0.1784231242969886,-0.17859140969780954,1.4159988064579762e-08,1,8,0.0,0.0,1,,5.907922589259803e-07,2.759777294373856e-07
5,3,10,-15.0,-0.18585321420393588,-0.18202741592448302,7.318366237533009e-06,1,7,0.0,0.0,1,,-5.527042652930193e-06,-2.3740168940267173e-06
5,3,11,-20.0,-0.18182516904847973,-0.1837471658447687,1.8470358424740077e-06,1,7,0.0,0.0,1,,1.7349122359837897e-06,1.2294797150249403e-06
6,4,0,5.0,nan,nan,0.0,0,0,nan,nan,0,target NaN (skipped),0.0,0.0
6,4,1,3.0,-0.0009641367069719142,0.0028935059175050257,7.440703309090683e-06,1,5,5.502751244781507e-08,1.5922244165494925e-10,1,,-3.3485876029307243e-05,1.171053029090765e-21
6,4,2,1.0,0.005300100699136993,0.0012749154793227691,8.101058026905618e-06,1,7,1.6542072829172826e-07,2.1089748198678537e-10,1,,5.119137591311682e-06,2.6200758604194043e-15
6,4,3,-0.5,-0.003043699973370108,-0.0024222466072815634,1.9310214311139454e-07,1,5,4.370177121870559e-06,1.0585692968023697e-08,1,,-6.88890318550902e-07,-1.2482916397559806e-09
6,4,4,-1.0,-0.008740273241698985,-0.009153060928278962,8.5196837096023e-08,1,9,0.0,0.0,1,,2.8437647697346645e-06,1.4746459456586497e-08
6,4,5,-2.0,-0.043322701962768204,-0.04398809977241178,2.2137712253920892e-07,1,9,0.0,0.0,1,,2.125972200716599e-05,5.369760323762186e-07
