phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.0027006467074248,-0.002037117351984403,-0.002697193558245992
-2,-0.02340628769495274,-0.02245027955087673,-0.02094170364994419,-0.02222560529721833
-3,-0.06477056956628323,-0.06573915154075072,-0.06333339791782359,-0.06349517619862015
-4,-0.1069978687145439,-0.1067293745047628,-0.1025324149083589,-0.09932914362991872
-5,-0.1375463225152408,-0.1357736240506634,-0.1190684518165829,-0.1210556551214258
-6,-0.1535713093831789,-0.1543519642966588,-0.131373497521937,-0.1322792829594682
-7,-0.1621867293734878,-0.1655840970813032,-0.139417062760819,-0.1379140680963188
-8,-0.1696244956881482,-0.1721200446113515,-0.1403411774956293,-0.1411437287219526
-9,-0.1777534819190489,-0.175860482191516,-0.143362447225946,-0.1434525040597986
-10,-0.1814173452222933,-0.1780323495644708,-0.1456811764319968,-0.1454063199723535
