phi_applied,target_current_density,simulated_current_density
-1,-0.01164134382937862,-0.0002699291578046233
-2.357142857142857,-0.004296491949389814,-0.0009028662311192325
-3.714285714285714,-0.01042510095057005,-0.00226414392492413
-5.071428571428571,0.00306468206040262,-0.005321286462006898
-6.428571428571429,-0.002344549770112888,-0.01210240993908558
-7.785714285714286,-0.01736073170891072,-0.02631711940435613
-9.142857142857142,-0.05660640020168232,-0.05270258761891311
-10.5,-0.1051600370197197,-0.09224147270255439
-11.85714285714286,-0.1517767405379136,-0.1363616477760487
-13.21428571428572,-0.1411870115178984,-0.1734804002439047
-14.57142857142857,-0.1952745668145112,-0.2013134047274745
-15.92857142857143,-0.2122261047383181,-0.2256816580030033
-17.28571428571428,-0.2611321160505219,-0.2530232887731728
-18.64285714285714,-0.2967123437779395,-0.2857178648520899
-20,-0.3153992890607881,-0.3204108767787897
