phi_applied,flux_clean,flux_noisy
-1,-0.002819451201137672,0.001060649073003794
-2,-0.02280168364757939,-0.02145874608431169
-3,-0.06408144171047786,-0.0659568448718815
-4,-0.09958232622819777,-0.09962180675297472
-5,-0.121117997357992,-0.123516153031586
-6.5,-0.1357339594135733,-0.1377145193184194
-8,-0.1416567297415814,-0.1427989098651135
-10,-0.1463470490184126,-0.1491318453205951
-11.5,-0.1492693260137184,-0.1480183949925786
-13,-0.1519549809952661,-0.1547720844454233
