phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002823517842217851,-0.002778385193752561,-0.002819451201137672,-0.002774522253955131
-2,-0.02305320466840268,-0.02297271932933842,-0.02280168364757939,-0.02272655212403311
-3,-0.06648225800875268,-0.06656938820423845,-0.06408144171047786,-0.06418657143367071
-4,-0.1072782403066796,-0.1074891410038975,-0.09958232622819777,-0.09980656075790693
-5,-0.1361146131989165,-0.1363503606926922,-0.121117997357992,-0.1213320689521114
-6.5,-0.1608336546671907,-0.1610187390335009,-0.1357339594135733,-0.1358319000516602
-8,-0.1721558309712194,-0.17227071739563,-0.1416567297415814,-0.1416497118018961
-10,-0.1780352025311289,-0.1780893053633024,-0.1463470490184126,-0.1462460701204681
-11.5,-0.1798473312369106,-0.179881312050542,-0.1492693260137184,-0.1491156153942262
-13,-0.1809173023546597,-0.1809427346724577,-0.1519549809952661,-0.151757377502973
