phi_applied,flux_noisy
-1,-0.005516776751857838
-2,-0.02502931783834988
-3,-0.06536610633053844
-4,-0.1027145161077129
-5,-0.1197110459224458
-6.5,-0.1389024855653006
-8,-0.1469394859321931
-10,-0.1433182951685031
-11.5,-0.1508149143098498
-13,-0.1567766944105825
