V_RHE,method,z_factor_ss,ic_fallback,ic_picard_iters,F_norm_total,F_blk_u_O2,F_blk_u_H2O2,F_blk_u_H,F_blk_phi,rel_u_O2,rel_u_H2O2,rel_u_H,rel_phi,abs_u_O2,abs_u_H2O2,abs_u_H,abs_phi,inf_u_O2,inf_u_H2O2,inf_u_H,inf_phi,ic_norm_u_O2,ic_norm_u_H2O2,ic_norm_u_H,ic_norm_phi,ss_norm_u_O2,ss_norm_u_H2O2,ss_norm_u_H,ss_norm_phi
-0.7000,warm<--23.353,1.0000,True,50,3.356213e+33,7.722206e+25,1.500944e+33,3.001889e+33,6.196085e-03,1.000000e+00,3.389371e-01,7.960684e-01,1.162955e+00,2.290618e+01,1.815291e+02,2.065136e+02,6.266051e+02,6.989852e-01,1.748149e+01,3.033817e+01,2.206259e+01,0.000000e+00,3.917373e+02,6.845316e+01,9.285957e+02,2.290618e+01,5.355834e+02,2.594169e+02,5.388044e+02
-0.6000,warm<--19.461,1.0000,True,50,6.846990e+31,5.861957e+23,3.062067e+31,6.124134e+31,6.147483e-03,1.000000e+00,3.404453e-01,7.906978e-01,1.164582e+00,2.275741e+01,1.825092e+02,2.011474e+02,5.333099e+02,6.942203e-01,1.846534e+01,2.790237e+01,1.855595e+01,0.000000e+00,3.917373e+02,6.845316e+01,7.959391e+02,2.275741e+01,5.360895e+02,2.543923e+02,4.579411e+02
-0.5000,warm<--15.569,1.0000,True,50,1.396850e+30,4.449834e+21,6.246903e+29,1.249381e+30,6.079522e-03,1.000000e+00,3.419297e-01,7.851165e-01,1.156453e+00,2.259841e+01,1.834720e+02,1.956448e+02,4.383442e+02,6.891293e-01,1.944886e+01,2.546693e+01,1.504823e+01,0.000000e+00,3.917373e+02,6.845316e+01,6.632826e+02,2.259841e+01,5.365781e+02,2.491921e+02,3.790420e+02
-0.4000,warm<--11.677,1.0000,True,50,2.849705e+28,3.377886e+19,1.274427e+28,2.548853e+28,5.977943e-03,1.000000e+00,3.434455e-01,7.792125e-01,1.127932e+00,2.242478e+01,1.844542e+02,1.898778e+02,3.414844e+02,6.835733e-01,2.043191e+01,2.303206e+01,1.155139e+01,0.000000e+00,3.917373e+02,6.845316e+01,5.306261e+02,2.242478e+01,5.370696e+02,2.436791e+02,3.027527e+02
-0.3000,warm<--7.784,1.0000,True,50,5.813664e+26,2.564167e+17,2.599950e+26,5.199900e+26,5.810070e-03,1.000000e+00,3.450147e-01,7.727507e-01,1.052862e+00,2.222764e+01,1.854704e+02,1.835971e+02,2.424711e+02,6.772773e-01,2.141423e+01,2.059819e+01,8.085443e+00,0.000000e+00,3.917373e+02,6.845316e+01,3.979696e+02,2.222764e+01,5.375724e+02,2.375891e+02,2.302972e+02
-0.2000,warm<--3.892,1.0000,True,50,1.186042e+25,1.946469e+15,5.304141e+24,1.060828e+25,5.482014e-03,1.000000e+00,3.466436e-01,7.651534e-01,8.593063e-01,2.198475e+01,1.865253e+02,1.762352e+02,1.412249e+02,6.695630e-01,2.239513e+01,1.816658e+01,4.699495e+00,0.000000e+00,3.917373e+02,6.845316e+01,2.653130e+02,2.198475e+01,5.380896e+02,2.303267e+02,1.643476e+02
-0.1000,warm<-+0.000,1.0000,True,50,2.419637e+23,1.477572e+13,1.082094e+23,2.164189e+23,4.598968e-03,1.000000e+00,3.483303e-01,7.546368e-01,3.799272e-01,2.162605e+01,1.876182e+02,1.662852e+02,4.215662e+01,6.583446e-01,2.337252e+01,1.574131e+01,1.552182e+00,0.000000e+00,3.917373e+02,6.845316e+01,1.326565e+02,2.162605e+01,5.386215e+02,2.203513e+02,1.109597e+02
0.0000,warm<-+1.946,1.0000,True,50,4.936285e+21,1.121631e+11,2.207574e+21,4.415148e+21,9.745442e-20,1.000000e+00,3.500607e-01,7.364825e-01,1.000000e+00,2.093675e+01,1.887399e+02,1.507517e+02,7.940116e+01,6.386918e-01,2.434148e+01,1.333079e+01,3.261018e+00,0.000000e+00,3.917373e+02,6.845316e+01,0.000000e+00,2.093675e+01,5.391635e+02,2.046914e+02,7.940116e+01
0.0500,warm<-+3.892,1.0000,True,50,7.050588e+20,9.772385e+09,3.153119e+20,6.306237e+20,1.195872e-02,1.000000e+00,3.509300e-01,7.219623e-01,1.816282e+00,2.032967e+01,1.893021e+02,1.398621e+02,1.321588e+02,6.304725e-01,2.482756e+01,1.212998e+01,4.760751e+00,0.000000e+00,3.917373e+02,6.845316e+01,6.632826e+01,2.032967e+01,5.394297e+02,1.937249e+02,7.276337e+01
0.1000,warm<-+7.784,1.0000,True,50,1.007048e+20,8.514344e+08,4.503658e+19,9.007315e+19,6.316945e-02,1.000000e+00,3.517962e-01,6.992533e-01,2.647219e+00,1.937165e+01,1.898537e+02,1.250490e+02,1.847732e+02,6.757812e-01,2.536717e+01,1.090738e+01,6.197571e+00,0.000000e+00,3.917373e+02,6.845316e+01,1.326565e+02,1.937165e+01,5.396696e+02,1.788322e+02,6.979898e+01
