evaluation,objective,grad_norm,k0_0,k0_1,alpha_0,alpha_1
1,0.0026188723784503127,0.016994248396703014,0.0052740870777605005,4.5880285758523514e-05,0.6297035587688262,0.5173645186018533
2,0.002333049789849927,0.016612473970941285,0.005187367444934461,4.6103021418243944e-05,0.6160627836590743,0.5241811074955595
3,0.052804847795376524,0.04777201933522625,0.0027880979085263273,6.842917626864065e-05,0.05,0.95
4,0.0017622738870527576,0.014965234272938627,0.005037875477646114,4.6968569923743834e-05,0.589402093764018,0.5442365249726332
5,0.017741099037780487,0.12808934516980156,0.003747811372340025,5.6692332377472766e-05,0.319701046882009,0.7471182624863166
6,0.0010779842936191925,0.008930144710290891,0.004812727190812225,4.835456219716536e-05,0.5477172954837037,0.5755937792391227
7,0.0011672120291451435,0.01877927452222497,0.004172174083915731,5.037596386880499e-05,0.46655885702495214,0.6023198205752625
8,0.000822841385618235,0.0045229480600410465,0.004495610333058,4.93089312940156e-05,0.5089853103512773,0.5883484928011153
9,0.0006879865448469107,0.00430385587209943,0.004252342560153401,4.8806103393863424e-05,0.49485835680828105,0.5675235360777056
10,0.00029244063679358134,0.003978896288046679,0.0034039766529834654,4.684554745058406e-05,0.43835054263629625,0.48422370918406643
11,8.561797263389918e-05,0.0006102980159865993,0.00254685568807029,4.4137000385691975e-05,0.3855890844382085,0.36580099886201345
12,8.204101674033017e-05,0.00026354032714205914,0.0025454932988963085,4.445137835177651e-05,0.3955422419576915,0.3723835005411775
13,7.776448867405505e-05,0.0005888241504917256,0.002484830576994564,4.506353447807628e-05,0.4113403171842735,0.3807515254664736
14,6.991926038565476e-05,0.0011728743096310285,0.0023098647776853675,4.6491407200885355e-05,0.4427561117943817,0.39667696035737504
15,5.4946511878326413e-05,0.0016603942803586132,0.0019287334801960266,4.9854730958220554e-05,0.5071132991997482,0.42951652635274906
16,3.802759052162884e-05,0.0013726874833118823,0.0014632113656933155,5.510800396568644e-05,0.5930612333713504,0.4737527755916992
17,3.15710201670819e-05,0.0004818052552948465,0.0012639462855033915,5.744334717979321e-05,0.6282918710402831,0.49212681107096823
18,3.046769264785318e-05,9.604969814557503e-05,0.0012662295122676877,5.693892229543891e-05,0.6198401067886723,0.4868462723304408
19,3.034883389539854e-05,2.1713748070753553e-05,0.001288634696628201,5.6393248411016685e-05,0.6114556679745675,0.48208684779499733
20,3.0338913621092473e-05,2.261205307044618e-05,0.0012903844653184163,5.6315816747543416e-05,0.6111758229560259,0.48219442250745476
21,3.0145298151812304e-05,2.6876941852390314e-05,0.0013019596794134037,5.463024355725521e-05,0.6089275846569604,0.4847274235798141
22,2.9815369519540544e-05,3.5548033844864905e-05,0.0012937251821113105,5.127976625469162e-05,0.6109883759354463,0.4941541734156721
23,2.982891594142641e-05,0.0003368745053678583,0.0012503803376245905,4.5639959047583226e-05,0.6159142303075275,0.5062351811306537
24,2.9634702461758275e-05,0.00016965419026709525,0.0012723349297161317,4.8438480912283215e-05,0.6133982611414095,0.5000645880496233
25,2.9398976466538272e-05,5.773651042204914e-05,0.001234928271175541,4.621891033049475e-05,0.6220661954006296,0.5119176665122508
26,2.9334324229629958e-05,5.7044807766238075e-06,0.0012059293436866233,4.563839691485559e-05,0.6285267605712896,0.5174732806136574
27,2.9330331287378974e-05,2.8708209528189e-06,0.001200489520796143,4.579205352664956e-05,0.6296582103688808,0.5176361734019663
28,2.9330418029987964e-05,3.16812082659484e-07,0.0012006677198594144,4.5862860596565564e-05,0.6296220676943305,0.5174044272958277
29,2.933040798367986e-05,2.4853811222953463e-06,0.0012005190471705222,4.5803778942710153e-05,0.6296522214023959,0.517597772268681
30,2.9330396066425627e-05,2.873755991110317e-06,0.0012004909721813504,4.5792629832524864e-05,0.6296579159744897,0.5176342857510207
31,2.933037411624671e-05,2.8953641863284884e-06,0.0012004895260882247,4.579205562798032e-05,0.629658209295451,0.5176361665191562
32,2.9330371176784626e-05,2.894859036531453e-06,0.001200489520796251,4.5792053526692645e-05,0.6296582103688588,0.5176361734018253
33,2.9330429454111282e-05,2.226168753416627e-06,0.00120049047913551,4.579201234253785e-05,0.629660103029843,0.5176340789596198
34,2.9330450024290604e-05,2.9369225617301985e-06,0.0012004895334049922,4.5792052984790707e-05,0.629658235270587,0.5176361458454262
35,2.9330450504470692e-05,2.9056983315060445e-06,0.0012004895207980606,4.579205352656715e-05,0.6296582103726681,0.5176361733977752
36,2.933045050786227e-05,2.9057012673076835e-06,0.0012004895207971017,4.5792053526608355e-05,0.6296582103707744,0.5176361733998708
37,2.933045050955808e-05,2.905702741582097e-06,0.001200489520796623,4.579205352662896e-05,0.6296582103698276,0.5176361734009186
38,2.9330450510405598e-05,2.9057034771278365e-06,0.0012004895207963825,4.579205352663926e-05,0.6296582103693542,0.5176361734014424
