evaluation,iteration,objective,grad_norm,n_failed_points,used_anisotropy_recovery,k0_0,k0_1,alpha_0,alpha_1,steric_a_0,steric_a_1,steric_a_2,steric_a_3,grad_0,grad_1,grad_2,grad_3,effective_k0_0,effective_k0_1
20,17,4.2623451743385614e-05,4.083126222891003e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09125794245508384,0.07955141152689776,0.02641297257019905,0.001,-2.8426423267850364e-05,2.379938168867228e-05,2.515893650480905e-06,1.6923065495925693e-05,0.0012631578947368421,5.2631578947368424e-05
21,18,4.261640352412575e-05,6.520000110832547e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09287884270401474,0.08115605160096416,0.026356824215382692,0.001,-4.624694331574556e-05,4.3892534351698705e-05,4.60440670871045e-06,1.2825959828472514e-05,0.0012631578947368421,5.2631578947368424e-05
22,19,4.259862429751225e-05,0.00010669897318147056,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.09713575364089047,0.08521412930569548,0.02593034092284624,0.001,-7.48366329108252e-05,7.572440404643148e-05,1.7485650240352135e-06,6.848825061284863e-06,0.0012631578947368421,5.2631578947368424e-05
23,20,4.2562387445649684e-05,0.00016755563783788473,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.10713887611428516,0.09450273529732624,0.025112518962348406,0.001,-0.00011535930948451483,0.00012150856981101152,-8.681417790398218e-07,-1.4266319954164456e-06,0.0012631578947368421,5.2631578947368424e-05
24,21,4.254116903850401e-05,0.00012557336501171,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.10724707486132214,0.09438948204116397,0.025113230285516586,0.001,-8.717513929637954e-05,9.025009736783477e-05,6.544006076478822e-07,4.863822978072975e-06,0.0012631578947368421,5.2631578947368424e-05
25,22,4.2395886131144566e-05,5.134373225058055e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.14218026469090006,0.12512650219675928,0.022408690078279336,0.001,2.5102389629542597e-05,-2.8468961617204348e-05,1.0996937462162587e-05,3.278161782458835e-05,0.0012631578947368421,5.2631578947368424e-05
26,23,4.280457990559119e-05,0.0005603054658061295,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.15,0.1344304151465793,0.02095533481890496,0.001,-0.0003728553569903679,0.0004131982295034432,-3.611491033065961e-05,-5.370320440008602e-05,0.0012631578947368421,5.2631578947368424e-05
27,23,4.238970010558418e-05,3.0142048187445676e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.14290365279793193,0.12598718861525318,0.022274243083801125,0.001,-1.0855566945575004e-05,1.1125653888259524e-05,6.5851334400491635e-06,2.4971094857050995e-05,0.0012631578947368421,5.2631578947368424e-05
28,24,4.238429315376845e-05,2.8694272304788608e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.15,0.1323209460256465,0.02160196213798371,0.001,1.2726518783912977e-07,1.9298130123828004e-07,4.565438348950936e-06,2.8327806084704535e-05,0.0012631578947368421,5.2631578947368424e-05
29,25,4.238278721826719e-05,3.244276003825049e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.15,0.1323652929163291,0.021303708312354865,0.001,-1.203274589872867e-05,1.2702818524952476e-05,-7.138067447576724e-06,2.637104661692631e-05,0.0012631578947368421,5.2631578947368424e-05
30,25,4.238342143945594e-05,2.8238931575844703e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.15,0.13233577917401815,0.021502202195857703,0.001,-3.112951797203979e-06,3.534099472946885e-06,1.5143449679266602e-06,2.7802224513282303e-05,0.0012631578947368421,5.2631578947368424e-05
31,26,4.238332447198485e-05,2.846531052398319e-05,0,0,0.0012631578947368421,5.2631578947368424e-05,0.627,0.5,0.15,0.1323157623185933,0.02144795022672863,0.001,-6.961141075585882e-07,6.845991113501389e-07,-5.3848327615519244e-08,2.8448510554867327e-05,0.0012631578947368421,5.2631578947368424e-05
