phase,k0_1,k0_2,alpha_1,alpha_2,k0_1_err_pct,k0_2_err_pct,alpha_1_err_pct,alpha_2_err_pct,loss,time_s
"Phase 1 (alpha, sym 12pt)",5.00000000e-03,5.00000000e-04,0.629229,0.134013,295.8333,850.0000,0.3555,73.1975,inf,176.9
"Phase 2 (k0, cat 15pt)",1.32518977e-03,6.15636512e-07,0.629229,0.134013,4.9109,98.8303,0.3555,73.1975,6.559496007181e-05,225.0
Phase 3 (multi-obs joint),1.32229025e-03,6.15651362e-07,0.626881,0.134053,4.6813,98.8303,0.0189,73.1893,1.000000000000e+10,163.8
"Phase 4c (joint, no reg)",1.32229025e-03,6.15651362e-07,0.627168,0.134045,4.6813,98.8303,0.0269,73.1910,inf,237.7
Phase 5 (multi-pH),1.32378698e-03,6.15733555e-07,0.628293,0.134196,4.7998,98.8301,0.2063,73.1609,1.900000000000e+10,720.3
