problem,method,noise_std,seed,d_true,d_guess,phi_true,phi_guess,success,failure_reason,time_s,peak_rss_mib,objective,estimate,error_abs,error_rel,log_tail
infer_D,CG,0.005,20260211,"[1.0, 3.0]","[10.0, 10.0]",,,True,,18.163897291000467,349.71875,1.17985787643672e-05,"[0.9605598666187285, 2.6607208997408525]",0.3415638036938182,0.10801195859430991,"j = 1.1801803085774406e-05, m = [-0.04003759], [0.94364911], D = [0.96075332], [2.56934015]\nj = 1.180121031131645e-05, m = [-0.0448847], [0.94986898], D = [0.95610771], [2.5853709]\nj = 1.1801210252301405e-05, m = [-0.04488465], [0.94986931], D = [0.95610776], [2.58537175]\nj = 1.1801210016248122e-05, m = [-0.04488444], [0.94987062], D = [0.95610797], [2.58537515]\nj = 1.1801209072143276e-05, m = [-0.04488359], [0.94987588], D = [0.95610878], [2.58538875]\nj = 1.1801205297457024e-05, m = [-0.04488018], [0.94989692], D = [0.95611203], [2.58544315]\nj = 1.1801190226442958e-05, m = [-0.04486657], [0.94998109], D = [0.95612505], [2.58566076]\nj = 1.1801130385916327e-05, m = [-0.04481213], [0.95031775], D = [0.9561771], [2.58653139]\nj = 1.1800898110037668e-05, m = [-0.04459436], [0.95166438], D = [0.95638535], [2.59001685]\nj = 1.1800081733112332e-05, m = [-0.04372328], [0.95705093], D = [0.9572188], [2.60400573]\nj = 1.17985787643672e-05, m = [-0.04023897], [0.9785971], D = [0.96055987], [2.6607209]\nj = 1.17985787643672e-05, m = [-0.04023897], [0.9785971], D = [0.96055987], [2.6607209]"
infer_D,CG,0.005,20260211,"[0.5, 2.0]","[0.3, 0.3]",,,True,,21.64400779099742,361.09375,1.1795965438370788e-05,"[0.4893926554571512, 1.8682629162872402]",0.13216344041902583,0.06410868525796116,"j = 1.179596798701601e-05, m = [-0.71447189], [0.62544827], D = [0.48945053], [1.86908362]\nj = 1.1795967812630736e-05, m = [-0.71448477], [0.62544003], D = [0.48944422], [1.86906822]\nj = 1.1795967656792242e-05, m = [-0.71451304], [0.62542194], D = [0.48943039], [1.86903441]\nj = 1.179596765659579e-05, m = [-0.71451304], [0.62542192], D = [0.48943039], [1.86903438]\nj = 1.1795967655809996e-05, m = [-0.71451306], [0.62542185], D = [0.48943038], [1.86903424]\nj = 1.1795967652668315e-05, m = [-0.71451311], [0.62542154], D = [0.48943035], [1.86903367]\nj = 1.179596764012375e-05, m = [-0.71451334], [0.62542033], D = [0.48943024], [1.86903141]\nj = 1.1795967590301355e-05, m = [-0.71451424], [0.6254155], D = [0.4894298], [1.86902237]\nj = 1.1795967396706254e-05, m = [-0.71451786], [0.62539614], D = [0.48942803], [1.8689862]\nj = 1.1795966713438845e-05, m = [-0.71453231], [0.62531873], D = [0.48942095], [1.86884152]\nj = 1.1795965438370788e-05, m = [-0.71459014], [0.62500908], D = [0.48939266], [1.86826292]\nj = 1.1795965438370788e-05, m = [-0.71459014], [0.62500908], D = [0.48939266], [1.86826292]"
infer_D,CG,0.005,20260211,"[0.5, 2.0]","[10.0, 10.0]",,,True,,17.97333633299786,342.0625,1.179596554163442e-05,"[0.4893849653973237, 1.8682889948375474]",0.13213806355671945,0.06409637567163928,"j = 1.179776636568972e-05, m = [-0.71707388], [0.61274745], D = [0.48817864], [1.84549484]\nj = 1.1797656534780408e-05, m = [-0.71722992], [0.61308438], D = [0.48810247], [1.84611674]\nj = 1.1797506048877143e-05, m = [-0.71772681], [0.61415726], D = [0.48785999], [1.84809847]\nj = 1.1797505874068943e-05, m = [-0.71772663], [0.61415787], D = [0.48786008], [1.84809961]\nj = 1.1797505174935682e-05, m = [-0.71772593], [0.61416034], D = [0.48786043], [1.84810416]\nj = 1.1797502379995757e-05, m = [-0.7177231], [0.61417018], D = [0.48786181], [1.84812235]\nj = 1.1797491225725567e-05, m = [-0.71771179], [0.61420956], D = [0.48786732], [1.84819513]\nj = 1.1797447016444933e-05, m = [-0.71766654], [0.61436708], D = [0.4878894], [1.84848628]\nj = 1.1797276702197263e-05, m = [-0.71748557], [0.61499714], D = [0.4879777], [1.84965132]\nj = 1.1796699688057635e-05, m = [-0.71676168], [0.61751742], D = [0.48833107], [1.85431882]\nj = 1.179596554163442e-05, m = [-0.71460585], [0.62502304], D = [0.48938497], [1.86828899]\nj = 1.179596554163442e-05, m = [-0.71460585], [0.62502304], D = [0.48938497], [1.86828899]"
infer_phi0,CG,0.005,20260211,,,0.5,0.2,True,,3.1787618750022375,305.421875,6.640682368051085e-06,0.5001512064601974,0.00015120646019739503,0.00030241292039479006,"step 0\nstep 0\nj = 0.045052014052118894, phi0 = [0.2]\nj = 6.640682368051085e-06, phi0 = [0.50015121]\nj = 6.640682368051085e-06, phi0 = [0.50015121]"
infer_phi0,CG,0.005,20260211,,,0.5,10.0,True,,3.568926542000554,307.34375,6.640682368051058e-06,0.5001512064591118,0.00015120645911181896,0.0003024129182236379,"step 0\nstep 0\nj = 45.12357019074337, phi0 = [10.]\nj = 36.0387729092681, phi0 = [8.99]\nj = 9.900583783367091, phi0 = [4.95]\nj = 6.640682368051058e-06, phi0 = [0.50015121]\nj = 6.640682368051058e-06, phi0 = [0.50015121]"
infer_phi0,CG,0.005,20260211,,,1.5,0.2,True,,3.420081250002113,310.171875,6.640682368051049e-06,1.5001512064598173,0.00015120645981725467,0.00010080430654483645,"step 0\nstep 0\nj = 0.8452032205122532, phi0 = [0.2]\nj = 0.04210050198741275, phi0 = [1.21]\nj = 6.640682368051049e-06, phi0 = [1.50015121]\nj = 6.640682368051049e-06, phi0 = [1.50015121]"
infer_phi0,CG,0.005,20260211,,,1.5,10.0,True,,4.882976125001733,310.453125,6.640682368051064e-06,1.500151206459845,0.00015120645984501024,0.00010080430656334016,"step 0\nstep 0\nj = 36.1237213972037, phi0 = [10.]\nj = 28.048924115728397, phi0 = [8.99]\nj = 5.950734989827219, phi0 = [4.95]\nj = 0.4941749513350987, phi0 = [0.506]\nj = 28.048924115728397, phi0 = [8.99]\nj = 20.994226834253134, phi0 = [7.98]\nj = 9.945132271302557, phi0 = [5.96]\nj = 0.08814314540093035, phi0 = [1.92]\nj = 6.640682368051064e-06, phi0 = [1.50015121]\nj = 6.640682368051064e-06, phi0 = [1.50015121]"
infer_D,SLSQP,0.005,20260211,"[1.0, 3.0]","[0.3, 0.3]",,,True,,4.901100874998519,321.125,1.2138416037229706e-05,"[1.0423114870464605, 2.038309557619621]",0.9626207814616573,0.30440741924300263,"j = 0.00017920601172688572, m = [-1.20320166], [-1.20278559], D = [0.30023143], [0.30035638]\nj = 0.00017782235630483428, m = [-1.19999241], [-1.19784564], D = [0.3011965], [0.30184379]\nj = 0.00017107875545960722, m = [-1.1840471], [-1.17330477], D = [0.30603766], [0.30934294]\nj = 0.00014136444079431682, m = [-1.10682734], [-1.05447575], D = [0.3306062], [0.34837501]\nj = 5.9034345639813684e-05, m = [-0.77776495], [-0.54817256], D = [0.45943172], [0.57800511]\nj = 2.6972393810877963e-05, m = [-0.49511161], [-0.11332779], D = [0.60950288], [0.89285794]\nj = 1.6162395480800156e-05, m = [-0.27498832], [0.2253059], D = [0.759581], [1.25270587]\nj = 1.2975400709762066e-05, m = [-0.11637332], [0.46931826], D = [0.89014285], [1.59890378]\nj = 1.2246560793303767e-05, m = [-0.01783748], [0.62091052], D = [0.98232067], [1.86062141]\nj = 1.2143943034564951e-05, m = [0.02870349], [0.69251736], D = [1.0291194], [1.99874075]\nj = 1.2138416037229706e-05, m = [0.04144083], [0.71212082], D = [1.04231149], [2.03830956]\nj = 1.2138416037229706e-05, m = [0.04144083], [0.71212082], D = [1.04231149], [2.03830956]"
infer_D,SLSQP,0.005,20260211,"[1.0, 3.0]","[10.0, 10.0]",,,True,,2.5988593750007567,289.5,4.390076985228905e-05,"[10.000000000000002, 10.000000000000002]",11.401754250991383,3.60555127546399,"step 0\nstep 0\nj = 4.390076985228905e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]\nj = 4.390076985228905e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]"
infer_D,SLSQP,0.005,20260211,"[0.5, 2.0]","[0.3, 0.3]",,,True,,7.146432875000755,332.375,1.1800499118061531e-05,"[0.48696005786881996, 1.860635675622517]",0.1399730509775964,0.06789690281418768,"j = 3.056754588878108e-05, m = [-1.06869847], [-0.01136854], D = [0.34345524], [0.98869584]\nj = 3.0369287318556642e-05, m = [-1.06310919], [0.01814163], D = [0.34538029], [1.01830718]\nj = 2.9830542903685045e-05, m = [-1.04999843], [0.07407877], D = [0.3499383], [1.07689163]\nj = 2.8433902062819407e-05, m = [-1.01919221], [0.18113224], D = [0.36088634], [1.19857366]\nj = 2.476416467963272e-05, m = [-0.94145885], [0.40957352], D = [0.39005838], [1.50617529]\nj = 1.789268023608904e-05, m = [-0.7514076], [0.91117469], D = [0.47170212], [2.48724256]\nj = 1.6122312292164445e-05, m = [-0.67589776], [1.07294346], D = [0.50869952], [2.92397345]\nj = 1.4553195063081477e-05, m = [-0.67262562], [1.01844983], D = [0.51036679], [2.76889918]\nj = 1.2097918443285668e-05, m = [-0.71982072], [0.71758762], D = [0.48683953], [2.04948311]\nj = 1.1850947699062821e-05, m = [-0.72576801], [0.63757746], D = [0.48395274], [1.89189214]\nj = 1.1800499118061531e-05, m = [-0.71957318], [0.62091819], D = [0.48696006], [1.86063568]\nj = 1.1800499118061531e-05, m = [-0.71957318], [0.62091819], D = [0.48696006], [1.86063568]"
infer_D,SLSQP,0.005,20260211,"[0.5, 2.0]","[10.0, 10.0]",,,True,,2.591580000000249,291.3125,0.000108320248659724,"[10.000000000000002, 10.000000000000002]",12.419742348374223,6.024459946506312,"step 0\nstep 0\nj = 0.000108320248659724, m = [2.30258509], [2.30258509], D = [10.], [10.]\nj = 0.000108320248659724, m = [2.30258509], [2.30258509], D = [10.], [10.]"
infer_phi0,SLSQP,0.005,20260211,,,0.5,0.2,True,,3.18101150000075,305.28125,6.640682368051085e-06,0.5001512064601974,0.00015120646019739503,0.00030241292039479006,"step 0\nstep 0\nj = 0.045052014052118894, phi0 = [0.2]\nj = 6.640682368051085e-06, phi0 = [0.50015121]\nj = 6.640682368051085e-06, phi0 = [0.50015121]"
infer_phi0,SLSQP,0.005,20260211,,,0.5,10.0,True,,3.1387466250016587,300.125,6.640682368051066e-06,0.5001512064611742,0.00015120646117416925,0.0003024129223483385,"step 0\nstep 0\nj = 45.12357019074337, phi0 = [10.]\nj = 6.640682368051066e-06, phi0 = [0.50015121]\nj = 6.640682368051066e-06, phi0 = [0.50015121]"
infer_phi0,SLSQP,0.005,20260211,,,1.5,0.2,True,,3.1523027920011373,297.390625,6.640682368051062e-06,1.5001512064602187,0.00015120646021871131,0.00010080430681247421,"step 0\nstep 0\nj = 0.8452032205122532, phi0 = [0.2]\nj = 6.640682368051062e-06, phi0 = [1.50015121]\nj = 6.640682368051062e-06, phi0 = [1.50015121]"
infer_phi0,SLSQP,0.005,20260211,,,1.5,10.0,True,,3.8153111669998907,311.984375,6.640682368051049e-06,1.500151206460954,0.000151206460953901,0.00010080430730260066,"step 0\nstep 0\nj = 36.1237213972037, phi0 = [10.]\nj = 6.640682368051049e-06, phi0 = [1.50015121]\nj = 6.640682368051049e-06, phi0 = [1.50015121]"
infer_D,TNC,0.005,20260211,"[1.0, 3.0]","[0.3, 0.3]",,,False,"ConvergenceError: Nonlinear solve failed to converge after 46 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",5.5379022089982755,324.46875,,,,,"/opt/miniconda3/envs/pnp_py312/lib/python3.12/site-packages/pyadjoint/optimization/optimization.py:131: OptimizeWarning: Unknown solver options: maxiter\n  res = scipy_minimize(J, m_global, method=method, **kwargs)\nj = 0.00017953985259998363, m = [-1.2039728], [-1.2039728], D = [0.3], [0.3]\nj = 0.00017953984484925074, m = [-1.20397279], [-1.20397278], D = [0.30000001], [0.30000001]\nj = 4.786429333784716e-05, m = [-0.70279339], [-0.43228908], D = [0.49520008], [0.64902173]\nj = 4.308522619879748e-05, m = [1.80310367], [3.42612952], D = [6.06845274], [30.75736635]\nj = 4.308522595887145e-05, m = [1.80310366], [3.42612951], D = [6.06845267], [30.75736608]\nj = 3.8221743859823976e-05, m = [1.57361347], [3.25885282], D = [4.82404831], [26.01967076]\nj = 1.628639319072717e-05, m = [0.4261625], [2.42246931], D = [1.5313696], [11.27366314]\nj = 0.004722906550285745, m = [-16.00737532], [-9.5560294], D = [1.11708244e-07], [7.07732539e-05]\nj = 0.004614649917751519, m = [-7.79060641], [-3.56678004], D = [0.0004136], [0.02824666]\nj = 0.004313096480707039, m = [-3.68222196], [-0.57215537], D = [0.02516699], [0.56430784]"
infer_D,TNC,0.005,20260211,"[1.0, 3.0]","[10.0, 10.0]",,,True,,6.017212124999787,334.078125,1.18022867753839e-05,"[0.965944611398056, 2.572114277962014]",0.4292388153659897,0.13573723167090088,"j = 1.366586179807717e-05, m = [0.12969906], [0.39751542], D = [1.13848572], [1.48812274]\nj = 1.366586144231757e-05, m = [0.12969901], [0.39751545], D = [1.13848566], [1.48812278]\nj = 1.304516363716205e-05, m = [-0.19901368], [0.55886392], D = [0.81953868], [1.74868472]\nj = 1.2798909491292482e-05, m = [-0.03465731], [0.47818967], D = [0.96593638], [1.61315142]\nj = 1.2739390865302152e-05, m = [-0.11683549], [0.51852679], D = [0.88973155], [1.6795515]\nj = 1.2739390779191098e-05, m = [-0.11683549], [0.51852681], D = [0.88973155], [1.67955153]\nj = 1.1925880318555489e-05, m = [-0.03155451], [0.77249631], D = [0.96893814], [2.16516444]\nj = 1.1925880314334026e-05, m = [-0.03155451], [0.77249631], D = [0.96893814], [2.16516444]\nj = 1.1804976715892215e-05, m = [-0.04471675], [0.93079138], D = [0.9562683], [2.53651572]\nj = 1.1804976688123423e-05, m = [-0.0447167], [0.93079145], D = [0.95626835], [2.5365159]\nj = 1.18022867753839e-05, m = [-0.03464878], [0.94472824], D = [0.96594461], [2.57211428]\nj = 1.18022867753839e-05, m = [-0.03464878], [0.94472824], D = [0.96594461], [2.57211428]"
infer_D,TNC,0.005,20260211,"[0.5, 2.0]","[0.3, 0.3]",,,False,"ConvergenceError: Nonlinear solve failed to converge after 58 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",3.4933468330018513,303.515625,,,,,"step 0\nstep 0\n/opt/miniconda3/envs/pnp_py312/lib/python3.12/site-packages/pyadjoint/optimization/optimization.py:131: OptimizeWarning: Unknown solver options: maxiter\n  res = scipy_minimize(J, m_global, method=method, **kwargs)\nj = 0.00015026036839184482, m = [-1.2039728], [-1.2039728], D = [0.3], [0.3]\nj = 0.00015026036047589855, m = [-1.2039728], [-1.20397277], D = [0.3], [0.30000001]\nj = 4.8599321326946476e-05, m = [-1.12756182], [-0.52202191], D = [0.32382183], [0.59331969]"
infer_D,TNC,0.005,20260211,"[0.5, 2.0]","[10.0, 10.0]",,,True,,7.433519582998997,336.34375,1.1796047634994866e-05,"[0.48911053967945367, 1.863328219047016]",0.13710490893813104,0.06650564956971826,"j = 1.6182171846025794e-05, m = [-0.75976863], [0.13110299], D = [0.46777464], [1.14008519]\nj = 1.618216532904413e-05, m = [-0.75976909], [0.13110292], D = [0.46777443], [1.14008511]\nj = 1.577323521724753e-05, m = [-0.82671957], [0.12050517], D = [0.43748206], [1.12806657]\nj = 1.5773234703555124e-05, m = [-0.82671956], [0.1205052], D = [0.43748207], [1.1280666]\nj = 1.2249805334758181e-05, m = [-0.768088], [0.44783938], D = [0.4638992], [1.56492731]\nj = 1.2249805310241251e-05, m = [-0.76808799], [0.44783938], D = [0.4638992], [1.56492732]\nj = 1.189533093204328e-05, m = [-0.71757684], [0.55387107], D = [0.48793317], [1.73997556]\nj = 1.1895330923233513e-05, m = [-0.71757684], [0.55387107], D = [0.48793317], [1.73997557]\nj = 1.1796977361103152e-05, m = [-0.71712375], [0.62200403], D = [0.48815429], [1.86265713]\nj = 1.1796977361059714e-05, m = [-0.71712375], [0.62200403], D = [0.48815429], [1.86265713]\nj = 1.1796047634994866e-05, m = [-0.71516676], [0.62236425], D = [0.48911054], [1.86332822]\nj = 1.1796047634994866e-05, m = [-0.71516676], [0.62236425], D = [0.48911054], [1.86332822]"
infer_phi0,TNC,0.005,20260211,,,0.5,0.2,True,,4.040882457997213,314.296875,6.640682368051073e-06,0.5001512064598321,0.00015120645983213166,0.0003024129196642633,"step 0\nstep 0\n/opt/miniconda3/envs/pnp_py312/lib/python3.12/site-packages/pyadjoint/optimization/optimization.py:129: OptimizeWarning: Unknown solver options: maxiter\n  res = scipy_minimize(J, m_global, method=method, bounds=bounds, **kwargs)\nj = 0.045052014052118894, phi0 = [0.2]\nj = 0.045052012118981265, phi0 = [0.20000001]\nj = 6.6406823934206075e-06, phi0 = [0.50015143]\nj = 6.6406823886351255e-06, phi0 = [0.50015141]\nj = 6.640682368051073e-06, phi0 = [0.50015121]\nj = 6.640682368051073e-06, phi0 = [0.50015121]"
infer_phi0,TNC,0.005,20260211,,,0.5,10.0,True,,4.672707582998555,331.546875,6.640682368051059e-06,0.500151206459837,0.00015120645983701664,0.0003024129196740333,"step 0\nstep 0\n/opt/miniconda3/envs/pnp_py312/lib/python3.12/site-packages/pyadjoint/optimization/optimization.py:129: OptimizeWarning: Unknown solver options: maxiter\n  res = scipy_minimize(J, m_global, method=method, bounds=bounds, **kwargs)\nj = 45.12357019074337, phi0 = [10.]\nj = 45.12356863359669, phi0 = [9.99999984]\nj = 6.640683345339051e-06, phi0 = [0.50014981]\nj = 6.640682964927454e-06, phi0 = [0.50015011]\nj = 6.640682368051059e-06, phi0 = [0.50015121]\nj = 6.640682368051059e-06, phi0 = [0.50015121]"
infer_phi0,TNC,0.005,20260211,,,1.5,0.2,True,,5.0586606670003675,326.46875,6.640682368051075e-06,1.5001512064598528,0.0001512064598527818,0.0001008043065685212,"step 0\nstep 0\n/opt/miniconda3/envs/pnp_py312/lib/python3.12/site-packages/pyadjoint/optimization/optimization.py:129: OptimizeWarning: Unknown solver options: maxiter\n  res = scipy_minimize(J, m_global, method=method, bounds=bounds, **kwargs)\nj = 0.8452032205122532, phi0 = [0.2]\nj = 0.8452031842403503, phi0 = [0.20000003]\nj = 6.640694506962269e-06, phi0 = [1.50014628]\nj = 6.640694324091037e-06, phi0 = [1.50014632]\nj = 6.640682368051075e-06, phi0 = [1.50015121]\nj = 6.640682368051075e-06, phi0 = [1.50015121]"
infer_phi0,TNC,0.005,20260211,,,1.5,10.0,True,,4.337252290999459,324.25,6.640682368051074e-06,1.5001512064597788,0.00015120645977884095,0.0001008043065192273,"step 0\nstep 0\n/opt/miniconda3/envs/pnp_py312/lib/python3.12/site-packages/pyadjoint/optimization/optimization.py:129: OptimizeWarning: Unknown solver options: maxiter\n  res = scipy_minimize(J, m_global, method=method, bounds=bounds, **kwargs)\nj = 36.1237213972037, phi0 = [10.]\nj = 36.123720003969844, phi0 = [9.99999984]\nj = 6.6406835888197974e-06, phi0 = [1.50014964]\nj = 6.640683177006911e-06, phi0 = [1.50014993]\nj = 6.640682368051074e-06, phi0 = [1.50015121]\nj = 6.640682368051074e-06, phi0 = [1.50015121]"
infer_D,Newton-CG,0.005,20260211,"[1.0, 3.0]","[0.3, 0.3]",,,True,,11.523894333000499,363.109375,1.2221211077100723e-05,"[0.9917711249596588, 1.883417445969671]",1.1166128757762566,0.3531039952123626,"step 0\nstep 0\nj = 0.00017953985259998363, m = [-1.2039728], [-1.2039728], D = [0.3], [0.3]\nj = 4.441920886283651e-05, m = [-0.56834967], [-0.47704756], D = [0.56645951], [0.62061301]\nj = 1.8433905557157253e-05, m = [-0.13760045], [0.00827068], D = [0.87144681], [1.00830498]\nj = 1.2221211077100723e-05, m = [-0.00826292], [0.63308792], D = [0.99177112], [1.88341745]\nj = 1.2221211077100723e-05, m = [-0.00826292], [0.63308792], D = [0.99177112], [1.88341745]"
infer_D,Newton-CG,0.005,20260211,"[1.0, 3.0]","[10.0, 10.0]",,,True,,5.386040917001083,319.453125,4.390076985228905e-05,"[10.000000000000002, 10.000000000000002]",11.401754250991383,3.60555127546399,"step 0\nstep 0\nj = 4.390076985228905e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]\nj = 4.390076985228905e-05, m = [2.30258509], [2.30258509], D = [10.], [10.]"
infer_D,Newton-CG,0.005,20260211,"[0.5, 2.0]","[0.3, 0.3]",,,True,,10.823246750002,364.09375,1.2370161601073149e-05,"[0.47113146895273333, 1.5180016891959507]",0.482862054527775,0.2342225004024436,"step 0\nstep 0\nj = 0.00015026036839184482, m = [-1.2039728], [-1.2039728], D = [0.3], [0.3]\nj = 4.24864847064826e-05, m = [-0.89006242], [-0.4910656], D = [0.41063012], [0.61197393]\nj = 1.7825981938403397e-05, m = [-0.89825971], [0.05030697], D = [0.40727782], [1.05159386]\nj = 1.2370161601073149e-05, m = [-0.7526181], [0.41739479], D = [0.47113147], [1.51800169]\nj = 1.2370161601073149e-05, m = [-0.7526181], [0.41739479], D = [0.47113147], [1.51800169]"
infer_D,Newton-CG,0.005,20260211,"[0.5, 2.0]","[10.0, 10.0]",,,False,"ConvergenceError: Nonlinear solve failed to converge after 18 nonlinear iterations.
Reason:
   DIVERGED_LINE_SEARCH",5.415697500000533,320.25,,,,,"step 0\nstep 0\nj = 0.000108320248659724, m = [2.30258509], [2.30258509], D = [10.], [10.]"
infer_phi0,Newton-CG,0.005,20260211,,,0.5,0.2,True,,6.5759004579995235,327.671875,6.6406823680510695e-06,0.5001512064601564,0.0001512064601564278,0.0003024129203128556,"step 0\nstep 0\nj = 0.045052014052118894, phi0 = [0.2]\nj = 6.6406823680510695e-06, phi0 = [0.50015121]\nj = 6.6406823680510695e-06, phi0 = [0.50015121]"
infer_phi0,Newton-CG,0.005,20260211,,,0.5,10.0,True,,6.33677062499919,335.96875,6.640682368051063e-06,0.5001512064613607,0.00015120646136068672,0.00030241292272137343,"step 0\nstep 0\nj = 45.12357019074337, phi0 = [10.]\nj = 6.640682368051063e-06, phi0 = [0.50015121]\nj = 6.640682368051063e-06, phi0 = [0.50015121]"
infer_phi0,Newton-CG,0.005,20260211,,,1.5,0.2,True,,6.484995750000962,330.375,6.640682368051063e-06,1.5001512064600362,0.00015120646003619065,0.00010080430669079377,"step 0\nstep 0\nj = 0.8452032205122532, phi0 = [0.2]\nj = 6.640682368051063e-06, phi0 = [1.50015121]\nj = 6.640682368051063e-06, phi0 = [1.50015121]"
infer_phi0,Newton-CG,0.005,20260211,,,1.5,10.0,True,,5.959924666000006,330.265625,6.640682368051066e-06,1.5001512064610463,0.00015120646104627156,0.00010080430736418104,"step 0\nstep 0\nj = 36.1237213972037, phi0 = [10.]\nj = 6.640682368051066e-06, phi0 = [1.50015121]\nj = 6.640682368051066e-06, phi0 = [1.50015121]"
infer_D,BFGS,0.005,20260212,"[1.0, 3.0]","[0.3, 0.3]",,,True,,9.49715691700112,325.78125,1.1926811967766434e-05,"[0.9667426743457397, 2.8197530637032493]",0.18328940982511352,0.05796120060354031,"j = 1.2306046966672481e-05, m = [0.07954285], [0.78850429], D = [1.08279195], [2.20010324]\nj = 1.2292058902478937e-05, m = [0.08363956], [0.81046937], D = [1.08723694], [2.24896334]\nj = 1.2267156524731163e-05, m = [0.08593164], [0.84042131], D = [1.08973183], [2.3173431]\nj = 1.222302630298326e-05, m = [0.08423923], [0.88400378], D = [1.08788912], [2.42057176]\nj = 1.2147410804001606e-05, m = [0.07348037], [0.95088377], D = [1.07624741], [2.58799584]\nj = 1.2032786684018217e-05, m = [0.04141405], [1.05796517], D = [1.04228357], [2.88050368]\nj = 1.1964124520291037e-05, m = [-0.00451841], [1.14439801], D = [0.99549179], [3.14055022]\nj = 1.1947636633929535e-05, m = [-0.0186886], [1.13087342], D = [0.98148495], [3.0983615]\nj = 1.192797617045623e-05, m = [-0.03546], [1.05960731], D = [0.96516134], [2.88523775]\nj = 1.1926830535486543e-05, m = [-0.03467998], [1.03578277], D = [0.96591448], [2.81731069]\nj = 1.1926811967766434e-05, m = [-0.03382293], [1.03664932], D = [0.96674267], [2.81975306]\nj = 1.1926811967766434e-05, m = [-0.03382293], [1.03664932], D = [0.96674267], [2.81975306]"
infer_D,BFGS,0.005,20260212,"[1.0, 3.0]","[10.0, 10.0]",,,True,,10.394462958000076,339.515625,1.1926811924867917e-05,"[0.9667655302237235, 2.819524718948614]",0.1835098282160578,0.05803090301889764,"j = 1.3665883753594147e-05, m = [0.24152528], [0.55982415], D = [1.27318963], [1.75036467]\nj = 1.3560964439604329e-05, m = [0.24816417], [0.60339636], D = [1.28167033], [1.82831789]\nj = 1.3373251754828046e-05, m = [0.24533309], [0.66704618], D = [1.27804695], [1.94847337]\nj = 1.3042626497156367e-05, m = [0.22145999], [0.76614509], D = [1.24789732], [2.15145658]\nj = 1.2494289298722796e-05, m = [0.15042737], [0.93097029], D = [1.16233088], [2.53696958]\nj = 1.1983466729996738e-05, m = [-0.01916919], [1.20970883], D = [0.98101337], [3.35250835]\nj = 1.19671821187308e-05, m = [-0.01080729], [1.16687486], D = [0.9892509], [3.21193918]\nj = 1.1941838497008078e-05, m = [-0.01325559], [1.09711593], D = [0.98683188], [2.99551427]\nj = 1.1927907099927127e-05, m = [-0.02823362], [1.02234775], D = [0.97216123], [2.77971319]\nj = 1.1926850735404068e-05, m = [-0.0324918], [1.03512712], D = [0.96803039], [2.81546411]\nj = 1.1926811924867917e-05, m = [-0.03379928], [1.03656833], D = [0.96676553], [2.81952472]\nj = 1.1926811924867917e-05, m = [-0.03379928], [1.03656833], D = [0.96676553], [2.81952472]"
infer_D,BFGS,0.005,20260212,"[0.5, 2.0]","[0.3, 0.3]",,,True,,8.389640291999967,326.90625,1.1909892256109977e-05,"[0.49054629146128853, 1.899080577770543]",0.10136124697468117,0.04916742677893282,"j = 2.7202630127874665e-05, m = [-1.0038869], [0.21146227], D = [0.36645231], [1.23548335]\nj = 2.4551927922494484e-05, m = [-0.94923892], [0.3729556], D = [0.38703548], [1.45201987]\nj = 2.02373337875216e-05, m = [-0.84071665], [0.67580913], D = [0.43140125], [1.96562278]\nj = 1.720817757997077e-05, m = [-0.66976123], [1.12817658], D = [0.51183077], [3.09001695]\nj = 1.6492524743750006e-05, m = [-0.68425269], [1.06849411], D = [0.50446708], [2.91099256]\nj = 1.4445834110439291e-05, m = [-0.74221853], [0.82976425], D = [0.4760566], [2.29277815]\nj = 1.2549116155412687e-05, m = [-0.74791927], [0.68029679], D = [0.47335044], [1.97446365]\nj = 1.200374808840366e-05, m = [-0.7196357], [0.6811579], D = [0.48692961], [1.97616461]\nj = 1.1915138688229865e-05, m = [-0.71427492], [0.65025173], D = [0.48954694], [1.91602308]\nj = 1.1909946430212462e-05, m = [-0.71252662], [0.64197016], D = [0.49040357], [1.90022092]\nj = 1.1909892256109977e-05, m = [-0.71223563], [0.64136986], D = [0.49054629], [1.89908058]\nj = 1.1909892256109977e-05, m = [-0.71223563], [0.64136986], D = [0.49054629], [1.89908058]"
