problem,method,noise_std,seed,d_true,d_guess,phi_true,phi_guess,success,failure_reason,time_s,peak_rss_mib,objective,estimate,error_abs,error_rel,log_tail
infer_D,L-BFGS-B,0.0,20260211,"[0.5, 2.0]","[0.3, 0.3]",,,True,,5.0698884170014935,320.75,2.8005189683172494e-11,"[0.5000373374409398, 1.998196132153754]",0.0018042542202295199,0.0008751918500556164,"step 0\nj = 0.00014270766139973126, m = [-1.2039728], [-1.2039728], D = [0.3], [0.3]\nj = 2.2180581162074845e-05, m = [-1.07634151], [-0.21215112], D = [0.34084021], [0.80884246]\nj = 1.013880891038653e-05, m = [-0.65656814], [0.0342205], D = [0.51862814], [1.03481276]\nj = 6.162736605423928e-06, m = [-0.70034083], [0.13542363], D = [0.49641608], [1.14502175]\nj = 8.054532705418344e-06, m = [-0.87533869], [0.52176223], D = [0.41672086], [1.68499438]\nj = 1.8104643438458998e-06, m = [-0.78718936], [0.32715705], D = [0.45512219], [1.3870193]\nj = 6.252044396184907e-07, m = [-0.75526002], [0.47720978], D = [0.46988842], [1.61157149]\nj = 6.775147034204356e-08, m = [-0.69104727], [0.64323829], D = [0.50105106], [1.90263219]\nj = 3.589795465019122e-09, m = [-0.69595166], [0.69688822], D = [0.49859973], [2.0074961]\nj = 2.8005189683172494e-11, m = [-0.69307251], [0.69224484], D = [0.50003734], [1.99819613]\nj = 2.8005189683172494e-11, m = [-0.69307251], [0.69224484], D = [0.50003734], [1.99819613]"
infer_D,L-BFGS-B,0.0,20260211,"[0.5, 2.0]","[10.0, 10.0]",,,True,,5.595629457999166,327.765625,4.3366154033470845e-13,"[0.5000161040227622, 1.9999260618796215]",7.567156133071439e-05,3.670609884964004e-05,"j = 0.0003167472293115389, m = [-1.77855206], [-0.5860685], D = [0.1688825], [0.55651091]\nj = 4.283737043224003e-05, m = [0.3447796], [0.91683851], D = [1.41167875], [2.50136981]\nj = 5.687850009228098e-06, m = [-0.66315698], [0.2034149], D = [0.51522222], [1.22558085]\nj = 0.004591070672782393, m = [-23.80077388], [-14.0785515], D = [4.60739278e-11], [7.68710427e-07]\nj = 1.1886919547366326e-05, m = [-0.98300878], [0.0059826], D = [0.37418357], [1.00600054]\nj = 4.789914036857073e-06, m = [-0.75216072], [0.14847629], D = [0.471347], [1.16006529]\nj = 2.2523457373440803e-06, m = [-0.77324783], [0.28426534], D = [0.46151172], [1.32878546]\nj = 1.9188347382497853e-07, m = [-0.72009537], [0.56502126], D = [0.48670584], [1.75948518]\nj = 1.3357415634108761e-08, m = [-0.70052364], [0.6587583], D = [0.49632534], [1.93239139]\nj = 6.444400241937952e-11, m = [-0.69370206], [0.69075222], D = [0.49972264], [1.99521581]\nj = 4.3366154033470845e-13, m = [-0.69311497], [0.69311021], D = [0.5000161], [1.99992606]\nj = 4.3366154033470845e-13, m = [-0.69311497], [0.69311021], D = [0.5000161], [1.99992606]"
infer_phi0,L-BFGS-B,0.0,20260211,,,0.5,0.2,True,,3.2837968339990766,300.515625,6.710844840269936e-26,0.5000000000003664,3.6637359812630166e-13,7.327471962526033e-13,"step 0\nstep 0\nj = 0.0450000000001049, phi0 = [0.2]\nj = 6.710844840269936e-26, phi0 = [0.5]\nj = 6.710844840269936e-26, phi0 = [0.5]"
infer_phi0,L-BFGS-B,0.0,20260211,,,0.5,10.0,True,,3.5477962080003635,309.296875,8.255782540565931e-23,0.4999999999871503,1.2849721287011562e-11,2.5699442574023124e-11,"step 0\nstep 0\nj = 45.12499999999843, phi0 = [10.]\nj = 36.12499999999872, phi0 = [9.]\nj = 8.255782540565931e-23, phi0 = [0.5]\nj = 8.255782540565931e-23, phi0 = [0.5]"
infer_phi0,L-BFGS-B,0.0,20260211,,,1.5,0.2,True,,3.5252449580002576,304.953125,1.3320298820629712e-26,1.4999999999998368,1.63202784619898e-13,1.0880185641326534e-13,"step 0\nstep 0\nj = 0.845000000000403, phi0 = [0.2]\nj = 0.04499999999999747, phi0 = [1.2]\nj = 1.3320298820629712e-26, phi0 = [1.5]\nj = 1.3320298820629712e-26, phi0 = [1.5]"
infer_phi0,L-BFGS-B,0.0,20260211,,,1.5,10.0,True,,3.5307257910026237,306.828125,6.242080598825475e-23,1.4999999999888267,1.1173284519827575e-11,7.448856346551716e-12,"step 0\nstep 0\nj = 36.12499999999888, phi0 = [10.]\nj = 28.12499999999907, phi0 = [9.]\nj = 6.242080598825475e-23, phi0 = [1.5]\nj = 6.242080598825475e-23, phi0 = [1.5]"
infer_D,CG,0.0,20260211,"[1.0, 3.0]","[0.3, 0.3]",,,True,,25.724617291998584,349.015625,5.649811592281295e-16,"[0.9999964316731981, 2.9999608510237152]",3.9311261749152514e-05,1.2431312482237672e-05,"j = 2.2775375007494308e-11, m = [-0.0003043], [1.10197064], D = [0.99969574], [3.01009198]\nj = 1.624891708900236e-11, m = [-0.00068693], [1.10055506], D = [0.9993133], [3.00583397]\nj = 1.624814438417641e-11, m = [-0.00068692], [1.10055501], D = [0.99931332], [3.00583383]\nj = 1.6245053748721025e-11, m = [-0.00068685], [1.10055482], D = [0.99931339], [3.00583327]\nj = 1.6232694147891124e-11, m = [-0.00068659], [1.10055408], D = [0.99931364], [3.00583103]\nj = 1.61833028033982e-11, m = [-0.00068555], [1.1005511], D = [0.99931468], [3.00582209]\nj = 1.5986490367473944e-11, m = [-0.00068139], [1.1005392], D = [0.99931884], [3.00578631]\nj = 1.5211287516217786e-11, m = [-0.00066476], [1.10049159], D = [0.99933546], [3.00564321]\nj = 1.2303214649663866e-11, m = [-0.00059822], [1.10030115], D = [0.99940196], [3.00507086]\nj = 3.753991710879649e-12, m = [-0.00033205], [1.09953938], D = [0.999668], [3.00278255]\nj = 5.649811592281295e-16, m = [-3.56833317e-06], [1.09859924], D = [0.99999643], [2.99996085]\nj = 5.649811592281295e-16, m = [-3.56833317e-06], [1.09859924], D = [0.99999643], [2.99996085]"
infer_D,CG,0.0,20260211,"[1.0, 3.0]","[10.0, 10.0]",,,True,,24.013265042001876,346.59375,2.303949188268757e-12,"[0.9998865037513367, 3.003151105364353]",0.0031531486510654417,0.0009971131538454305,"j = 2.6723143920543897e-10, m = [-0.00226429], [1.08917895], D = [0.99773827], [2.97183305]\nj = 1.3673784757259075e-10, m = [-0.00181286], [1.09238496], D = [0.99818878], [2.98137607]\nj = 1.4166993068384288e-11, m = [-0.00077507], [1.09975533], D = [0.99922523], [3.00343108]\nj = 1.4166057724635513e-11, m = [-0.00077504], [1.09975532], D = [0.99922526], [3.00343106]\nj = 1.4162316706988519e-11, m = [-0.00077492], [1.09975531], D = [0.99922538], [3.00343101]\nj = 1.4147358390267916e-11, m = [-0.00077443], [1.09975524], D = [0.99922587], [3.00343081]\nj = 1.4087617154239844e-11, m = [-0.00077249], [1.09975496], D = [0.9992278], [3.00342999]\nj = 1.3850124713485387e-11, m = [-0.00076474], [1.09975387], D = [0.99923555], [3.0034267]\nj = 1.2923713688996175e-11, m = [-0.00073373], [1.0997495], D = [0.99926654], [3.00341358]\nj = 9.594923668251393e-12, m = [-0.00060968], [1.09973202], D = [0.9993905], [3.00336108]\nj = 2.303949188268757e-12, m = [-0.0001135], [1.09966211], D = [0.9998865], [3.00315111]\nj = 2.303949188268757e-12, m = [-0.0001135], [1.09966211], D = [0.9998865], [3.00315111]"
infer_D,CG,0.0,20260211,"[0.5, 2.0]","[0.3, 0.3]",,,True,,18.352342582998972,350.921875,9.092960566733816e-14,"[0.49999266983265356, 1.999824603686142]",0.00017554941830805705,8.515397578821858e-05,"j = 8.912016008884943e-09, m = [-0.69810582], [0.66545527], D = [0.49752682], [1.945376]\nj = 5.705423658280156e-09, m = [-0.69712429], [0.6709709], D = [0.4980154], [1.95613562]\nj = 3.22568390350335e-13, m = [-0.69319814], [0.69303342], D = [0.49997452], [1.99977249]\nj = 3.2236093147644184e-13, m = [-0.69319812], [0.69303343], D = [0.49997453], [1.99977251]\nj = 3.2153202398682204e-13, m = [-0.69319806], [0.69303347], D = [0.49997456], [1.9997726]\nj = 3.182312442538171e-13, m = [-0.69319781], [0.69303365], D = [0.49997469], [1.99977296]\nj = 3.052657262123162e-13, m = [-0.69319681], [0.69303437], D = [0.49997519], [1.99977439]\nj = 2.572052271622412e-13, m = [-0.69319281], [0.69303724], D = [0.49997719], [1.99978014]\nj = 1.2578563416937758e-13, m = [-0.6931768], [0.69304874], D = [0.49998519], [1.99980313]\nj = 5.730887619563454e-13, m = [-0.69311276], [0.69309472], D = [0.50001721], [1.99989507]\nj = 9.092960566733816e-14, m = [-0.69316184], [0.69305948], D = [0.49999267], [1.9998246]\nj = 9.092960566733816e-14, m = [-0.69316184], [0.69305948], D = [0.49999267], [1.9998246]"
infer_D,CG,0.0,20260211,"[0.5, 2.0]","[10.0, 10.0]",,,True,,21.06916837499739,356.703125,5.5847459286123283e-14,"[0.4999904501338758, 1.9998652890573227]",0.00013504902080350113,6.550839734224377e-05,"j = 1.8515919218238374e-10, m = [-0.69246285], [0.69712625], D = [0.50034228], [2.007974]\nj = 1.618174173952638e-10, m = [-0.6924911], [0.69688047], D = [0.50032815], [2.00748054]\nj = 8.521148911799016e-11, m = [-0.69260412], [0.69589735], D = [0.5002716], [2.00550791]\nj = 1.0708268757121351e-11, m = [-0.69287064], [0.69357908], D = [0.50013829], [2.00086398]\nj = 1.0699245479117633e-11, m = [-0.69287076], [0.69357888], D = [0.50013823], [2.00086358]\nj = 1.0663190483961446e-11, m = [-0.69287123], [0.69357807], D = [0.50013799], [2.00086197]\nj = 1.0519580386160284e-11, m = [-0.69287313], [0.69357487], D = [0.50013704], [2.00085556]\nj = 9.954898190586024e-12, m = [-0.69288072], [0.69356204], D = [0.50013325], [2.0008299]\nj = 7.852305895616092e-12, m = [-0.6929111], [0.69351074], D = [0.50011805], [2.00072726]\nj = 1.9404632889889044e-12, m = [-0.69303262], [0.69330554], D = [0.50005729], [2.00031675]\nj = 5.5847459286123283e-14, m = [-0.69316628], [0.69307982], D = [0.49999045], [1.99986529]\nj = 5.5847459286123283e-14, m = [-0.69316628], [0.69307982], D = [0.49999045], [1.99986529]"
