V_RHE,cap,from_cap,ok,elapsed_s,cd,pc,r1,r2,c_h2o2_min,c_h2o2_max
-0.1,50,cold,True,14.96,-0.1780187935413753,2.9058459224003274e-06,0.48552753903226264,0.4855433900693559,8.046715149676072e-05,0.00010000000000000009
-0.1,51,50.0,True,0.55,-0.17801878124771572,1.0887682367119685e-05,0.48550573552715687,0.48556512651403894,2.9606103780056994e-05,0.00010000000000000009
-0.1,52,51.0,True,0.39,-0.17801877647703776,1.3918646380952878e-05,0.4854974557448674,0.4855733802728579,1.0892006605539791e-05,0.00010000000000000009
-0.1,55,52.0,True,0.48,-0.1780187735858268,1.5428071992997655e-05,0.4854933309924378,0.4855774892540823,5.422950030672481e-07,0.00010000000000000009
-0.1,60,55.0,True,0.48,-0.178018773370713,1.5526879450673994e-05,0.4854930609143794,0.48557775815872256,3.6539653694349908e-09,0.00010000000000000009
-0.1,70,60.0,True,0.73,-0.1780187732776851,1.541784872520381e-05,0.4854933580353434,0.48557746053030143,1.6588977396008068e-13,0.00010000000000000009
-0.1,80,70.0,True,0.39,-0.17801877332678107,1.539432721160045e-05,0.48549342232275156,0.4855773965107061,9.357622968840175e-14,0.00010000000000000009
-0.1,100,80.0,True,0.07,-0.17801877332678107,1.539432721160045e-05,0.48549342232275156,0.4855773965107061,9.357622968840175e-14,0.00010000000000000009
-0.1,none,100.0,True,5.8,-0.17801877332678107,1.539432721160045e-05,0.48549342232275156,0.4855773965107061,9.357622968840175e-14,0.00010000000000000009
0.2,50,cold,True,14.64,-0.07860707039593896,1.5413833614734563e-05,0.21435397757561334,0.21443805816863126,5.4114243187822494e-11,0.00010000000000000009
0.2,51,50.0,True,0.3,-0.07860707183749127,1.5413845668769488e-05,0.2143539814744833,0.21443806213325425,1.9907525998571274e-11,0.00010000000000000009
0.2,52,51.0,True,0.3,-0.07860707271452065,1.5413844773498072e-05,0.2143539838689694,0.2144380645228568,7.323571979124227e-12,0.00010000000000000009
0.2,55,52.0,True,0.39,-0.07860707325757763,1.5413847518397903e-05,0.21435398534263794,0.2144380660114988,3.6461938847116453e-13,0.00010000000000000009
0.2,60,55.0,True,0.48,-0.0786070735941047,1.541384784018974e-05,0.21435398625961752,0.2144380669302335,9.357622968840175e-14,0.00010000000000000009
0.2,70,60.0,True,0.3,-0.07860707456518272,1.5414618609649113e-05,0.2143539868059468,0.2144380716810167,9.357622968840175e-14,0.00010000000000000009
0.2,80,70.0,True,0.13,-0.07860707456518272,1.5414618609649113e-05,0.2143539868059468,0.2144380716810167,9.357622968840175e-14,0.00010000000000000009
0.2,100,80.0,True,0.07,-0.07860707456518272,1.5414618609649113e-05,0.2143539868059468,0.2144380716810167,9.357622968840175e-14,0.00010000000000000009
0.2,none,100.0,True,0.07,-0.07860707456518272,1.5414618609649113e-05,0.2143539868059468,0.2144380716810167,9.357622968840175e-14,0.00010000000000000009
0.4,50,cold,True,14.81,-1.5436038219745625e-05,1.543602633444873e-05,3.241642657660195e-11,8.420168402882385e-05,1.0163615498025236e-08,0.00010000000000000009
0.4,51,50.0,True,0.26,-1.5438322043445527e-05,1.5438310157262683e-05,3.241884294225413e-11,8.421414200771413e-05,3.732675463664754e-09,0.00010000000000000009
0.4,52,51.0,True,0.26,-1.5438149700038475e-05,1.5438137813529347e-05,3.241973286490744e-11,8.421320189444006e-05,1.3707927067650946e-09,0.00010000000000000009
0.4,55,52.0,True,0.31,-1.5437985258840844e-05,1.5437973372176085e-05,3.242015733732062e-11,8.421230488722553e-05,2.467369396511403e-10,0.00010000000000000009
0.4,60,55.0,True,0.07,-1.5437985258840844e-05,1.5437973372176085e-05,3.242015733732062e-11,8.421230488722553e-05,2.467369396511403e-10,0.00010000000000000009
0.4,70,60.0,True,0.08,-1.5437985258840844e-05,1.5437973372176085e-05,3.242015733732062e-11,8.421230488722553e-05,2.467369396511403e-10,0.00010000000000000009
0.4,80,70.0,True,0.07,-1.5437985258840844e-05,1.5437973372176085e-05,3.242015733732062e-11,8.421230488722553e-05,2.467369396511403e-10,0.00010000000000000009
0.4,100,80.0,True,0.07,-1.5437985258840844e-05,1.5437973372176085e-05,3.242015733732062e-11,8.421230488722553e-05,2.467369396511403e-10,0.00010000000000000009
0.4,none,100.0,True,0.07,-1.5437985258840844e-05,1.5437973372176085e-05,3.242015733732062e-11,8.421230488722553e-05,2.467369396511403e-10,0.00010000000000000009
