cap,V_RHE,converged,r1,r2,dPC_dalpha2,dR2_dalpha2
50,-0.1,True,0.48552753903226264,0.4855433900693559,0.002783648366689649,0.007588385532997233
50,0.0,True,0.4739481536278043,0.4740315494597373,2.1619330207044878e-05,5.891629212273486e-05
50,0.1,True,0.4447259389203258,0.44480987660973403,1.6666789144279253e-07,4.378589157916224e-07
50,0.15,True,0.3955540926500619,0.3956380637054144,7.493784052629371e-09,2.5761337507645976e-08
50,0.2,True,0.21435397757561334,0.21443805816863126,-1.3907576262503496e-09,-1.0717121634584714e-08
