phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1.946087240512878,-0.1758294866688911,-0.1758213879842206,-1.097746055084428e-06,-7.092094918082608e-05
-3.892174481025757,-0.1775288004344368,-0.1775295552226659,-1.248286976855259e-05,-0.0004886184873153452
-5.838261721538634,-0.178741463212263,-0.17875187255026,-0.0001420332403354248,-0.003246624359527133
-7.784348962051514,-0.1796789293695221,-0.1797335234884035,-0.001583758157365081,-0.01771775106114094
-9.730436202564391,-0.1804925354792306,-0.1806407984876638,-0.01456377404649746,-0.05833477117663441
-11.67652344307727,-0.181332999361522,-0.1814895151336436,-0.06499947152291698,-0.1111000224238768
-13.62261068359015,-0.1821510894552255,-0.182223677426625,-0.1281652114052846,-0.1494962903030366
-15.56869792410303,-0.1828290536616143,-0.182847618271387,-0.1637409183357517,-0.1691919990407943
-17.5147851646159,-0.1833962914044576,-0.1833983455767831,-0.1770417241306471,-0.1776450382991522
-19.46087240512878,-0.1839047658585778,-0.1839039130925788,-0.1811200868554181,-0.1808695195529332
