phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002700281893553145,-0.002037117351984403,-0.002696835339268044
-2,-0.02340628769495274,-0.02244882339389719,-0.02094170364994419,-0.02222444847491454
-3,-0.06477056956628323,-0.06573778664445437,-0.06333339791782359,-0.06349594469574608
-4,-0.1069978687145439,-0.1067285573521499,-0.1025324149083589,-0.09933313299825808
-5,-0.1375463225152408,-0.1357734742552051,-0.1190684518165829,-0.1210610387989896
-6,-0.1535713093831789,-0.1543522600295581,-0.131373497521937,-0.1322832264947994
-7,-0.1621867293734878,-0.1655844781396107,-0.139417062760819,-0.1379146134337857
-8,-0.1696244956881482,-0.1721204782365234,-0.1403411774956293,-0.1411403821752054
-9,-0.1777534819190489,-0.1758608628361782,-0.143362447225946,-0.1434454761340398
-10,-0.1814173452222933,-0.1780326445882261,-0.1456811764319968,-0.1453958350093773
