grid,noise_model,NV,sv_min,cond_F,ridge_cos,log_k0_1_component,log_k0_1,log_k0_2,alpha_1,alpha_2
G0,global_max,7,2.5100616146166828,17936906.94196887,0.03079363538390727,0.9993674447098045,0.9993674447098045,0.03077714581279706,-0.01778375947387133,-0.0011025646416763007
G0,local_rel,7,5.35591929767392,109679048.12325558,0.011181834754452254,0.9997841575766895,0.9997841575766895,0.011168626566482988,-0.017502938129316335,-0.0007397270638614333
G_neg1,global_max,8,0.1763098908523452,1164333578.9065053,0.0425047493707987,0.998714343968423,0.998714343968423,0.04234069407198338,-0.026651354194373124,-0.008162726066161315
G_neg1,local_rel,8,6.4771940548256985,75851720.07903211,0.006988166750925975,0.999832090786865,0.999832090786865,0.006982022616726593,-0.016938410358014678,-0.00036310809519463994
G_neg2,global_max,9,0.019211026746062457,19592858424.982143,0.9715995059044845,0.23639617375610547,-0.23639617375610547,-0.971559189401538,0.006326197613418521,0.012229871080877381
G_neg2,local_rel,9,8.487414892612659,44275013.80586899,0.003477848098960154,0.9998608000971448,0.9998608000971448,0.003479561722249636,-0.016317817962456266,4.354609685890812e-05
G_neg3,global_max,11,0.02609782290056187,1536543380.9613545,0.9994174048798447,0.03233969461815656,-0.03233969461815656,-0.9994225797334509,0.0008645214303561601,0.01038767893397932
G_neg3,local_rel,11,8.552218504714489,43608312.88070367,0.0033512865266273244,0.99986159773288,0.99986159773288,0.003353286277132896,-0.016295319776027786,5.8340323378653615e-05
