grid,noise_model,V,leverage,weak_dir_contribution
G0,global_max,-0.1,0.9787337558361615,0.001165990964439823
G0,global_max,0.1,2.4958518537200364e-07,0.0002264904938233338
G0,global_max,0.2,0.00025549897897950667,0.3700528521253456
G0,global_max,0.3,0.0003138560406016751,0.212814187466578
G0,global_max,0.4,2.199625092662655e-05,0.3752000752490018
G0,global_max,0.5,0.020674643138451593,0.04053387005272809
G0,global_max,0.6,1.6969373156486882e-10,6.533648083240499e-06
G0,local_rel,-0.1,0.9974119881804964,0.00020147469705629692
G0,local_rel,0.1,1.07212223819278e-08,6.410254206083531e-05
G0,local_rel,0.2,4.7313798270446225e-05,0.44443967700700404
G0,local_rel,0.3,1.8658135423478627e-05,0.47245748045543223
G0,local_rel,0.4,1.5887753174744762e-06,0.021680255749517593
G0,local_rel,0.5,0.002520428707437701,0.05832046307574319
G0,local_rel,0.6,1.1681832264052874e-08,0.002836546473185852
G_neg1,global_max,-0.2,0.9989119194482706,0.0002497178359012057
G_neg1,global_max,-0.1,0.00029789061521248375,0.604614884480535
G_neg1,global_max,0.1,7.565014111215678e-07,0.0028024513990623865
G_neg1,global_max,0.2,0.0007830381275686476,0.005452897458152473
G_neg1,global_max,0.3,9.553348660275896e-08,0.0037352682187956903
G_neg1,global_max,0.4,6.69535797106672e-09,0.013860824368559604
G_neg1,global_max,0.5,6.29307864092847e-06,0.3692838751649638
G_neg1,global_max,0.6,5.1652451231929707e-14,8.107403044335809e-08
G_neg1,local_rel,-0.2,0.011358488827697659,0.29219467852490943
G_neg1,local_rel,-0.1,0.9860828952561363,0.002607459197227531
G_neg1,local_rel,0.1,1.0599445497283409e-08,5.073000690386718e-05
G_neg1,local_rel,0.2,4.677638502139541e-05,0.3421780414929759
G_neg1,local_rel,0.3,1.844620720072537e-05,0.3485508622288158
G_neg1,local_rel,0.4,1.5707292307812204e-06,0.005796789065245557
G_neg1,local_rel,0.5,0.0024918004461232613,0.006666652172898271
G_neg1,local_rel,0.6,1.154914430279459e-08,0.001954787311023966
G_neg2,global_max,-0.3,0.9932526790531664,7.38859602972592e-05
G_neg2,global_max,-0.2,0.0028972830849538574,0.00014092372399054245
G_neg2,global_max,-0.1,8.640133110402979e-07,0.013337501468205198
G_neg2,global_max,0.1,3.715114009268082e-06,0.014119079069863658
G_neg2,global_max,0.2,0.0038454378086531862,1.7956558478938394e-05
G_neg2,global_max,0.3,3.125919365773188e-10,0.5067497080146426
G_neg2,global_max,0.4,2.1907657605449343e-11,0.40574684588878773
G_neg2,global_max,0.5,2.0591406483862816e-08,0.059814099031719734
G_neg2,global_max,0.6,1.6901026366491542e-16,2.840140182770862e-10
G_neg2,local_rel,-0.3,0.002255625925516282,0.4012416464956807
G_neg2,local_rel,-0.2,0.011332868325823219,0.14280709246593895
G_neg2,local_rel,-0.1,0.9838586611128887,0.004873210486888423
G_neg2,local_rel,0.1,1.0575537113223641e-08,3.430106455403994e-05
G_neg2,local_rel,0.2,4.667087499463923e-05,0.22530209210805122
G_neg2,local_rel,0.3,1.8404599457535974e-05,0.22186562990670944
G_neg2,local_rel,0.4,1.5671862532063042e-06,0.0008408179168542372
G_neg2,local_rel,0.5,0.002486179876435773,0.0018868380268423305
G_neg2,local_rel,0.6,1.152309375348768e-08,0.001148371528479917
G_neg3,global_max,-0.5,0.0009195774076563722,0.003891903956495801
G_neg3,global_max,-0.4,0.09914725099893236,0.035250919602369174
G_neg3,global_max,-0.3,0.8718314716878498,0.012906481362978036
G_neg3,global_max,-0.2,0.002543101842457528,0.8188670430519234
G_neg3,global_max,-0.1,7.583897295203062e-07,3.191759295488688e-05
G_neg3,global_max,0.1,2.4667808976386482e-05,0.00013525255516834157
G_neg3,global_max,0.2,0.02553313979368748,3.806491981261197e-05
G_neg3,global_max,0.3,4.790708473794822e-10,0.06590090020634676
G_neg3,global_max,0.4,3.357514659408461e-11,0.05232471668733756
G_neg3,global_max,0.5,3.1558063977775196e-08,0.010652800063698724
G_neg3,global_max,0.6,2.590210455088395e-16,9.147440821889858e-13
G_neg3,local_rel,-0.5,3.064180370040714e-07,0.0001864361925951096
G_neg3,local_rel,-0.4,4.041202546835402e-05,0.014889539208068776
G_neg3,local_rel,-0.3,0.0022555340799394643,0.39403618989161543
G_neg3,local_rel,-0.2,0.01133240686906454,0.1397450689610893
G_neg3,local_rel,-0.1,0.9838185999195789,0.004906387111069714
G_neg3,local_rel,0.1,1.0575106493813157e-08,3.395959791753797e-05
G_neg3,local_rel,0.2,4.666897462925241e-05,0.22285880545156347
G_neg3,local_rel,0.3,1.8403850050892723e-05,0.21923995627426768
G_neg3,local_rel,0.4,1.5671224398213907e-06,0.0007692695533544622
G_neg3,local_rel,0.5,0.00248607864306093,0.0022029977147063826
G_neg3,local_rel,0.6,1.1522624551045672e-08,0.0011313900437526121
