phi_applied,target_primary,simulated_primary,target_secondary,simulated_secondary
-1,-0.002487472628692489,-0.002764013419337774,-0.002037117351984403,-0.002760283626995812
-2,-0.02340628769495274,-0.02265406943535217,-0.02094170364994419,-0.02241930331076615
-3,-0.06477056956628323,-0.06584543664688505,-0.06333339791782359,-0.06354957248913391
-4,-0.1069978687145439,-0.1066926719239488,-0.1025324149083589,-0.09920352868564361
-5,-0.1375463225152408,-0.1356690559735847,-0.1190684518165829,-0.1208797772752422
-6,-0.1535713093831789,-0.154233368995101,-0.131373497521937,-0.1321584514317878
-7,-0.1621867293734878,-0.1654790432934021,-0.139417062760819,-0.137889145301564
-8,-0.1696244956881482,-0.1720385855375915,-0.1403411774956293,-0.1412161397760978
-9,-0.1777534819190489,-0.1758016578771097,-0.143362447225946,-0.1436124577775267
-10,-0.1814173452222933,-0.1779906221611365,-0.1456811764319968,-0.1456440043561126
