phi_applied,target_flux,simulated_flux
0,-0.03093767302373105,-0.03275780996610211
0.002857142857142857,-0.04460184003378131,-0.04514149904339053
0.005714285714285714,-0.05575699872959258,-0.05751441880070946
0.008571428571428572,-0.06946871324949214,-0.06991623648363166
0.01142857142857143,-0.07660993909248412,-0.08239279594082863
0.01428571428571429,-0.09862959933751624,-0.09499428026567246
0.01714285714285714,-0.1183459195101913,-0.1077773860610868
0.02,-0.1213483772150977,-0.1208081204615277
0.02285714285714286,-0.1347899796988114,-0.1341655928815759
0.02571428571428571,-0.1495854660903717,-0.1479376588995444
0.02857142857142857,-0.1613400281540856,-0.1622672259298619
0.03142857142857143,-0.1761450943786004,-0.1773081736512096
0.03428571428571429,-0.1931316542870884,-0.193274168349874
0.03714285714285714,-0.2077238618980818,-0.2104985087221108
0.04,-0.2277039000375335,-0.2294445657178402
